effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/food_storage				
shield_food_storage_bundle_200	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_200	shield_food_stored	faction_to_faction_own_unseen	200.0	start_turn_completed
shield_food_storage_bundle_201	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_201	shield_food_stored	faction_to_faction_own_unseen	201.0	start_turn_completed
shield_food_storage_bundle_20	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_20	shield_food_stored	faction_to_faction_own_unseen	20.0	start_turn_completed
shield_food_storage_bundle_202	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_202	shield_food_stored	faction_to_faction_own_unseen	202.0	start_turn_completed
shield_food_storage_bundle_203	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_203	shield_food_stored	faction_to_faction_own_unseen	203.0	start_turn_completed
shield_food_storage_bundle_204	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_204	shield_food_stored	faction_to_faction_own_unseen	204.0	start_turn_completed
shield_food_storage_bundle_205	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_205	shield_food_stored	faction_to_faction_own_unseen	205.0	start_turn_completed
shield_food_storage_bundle_206	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_206	shield_food_stored	faction_to_faction_own_unseen	206.0	start_turn_completed
shield_food_storage_bundle_207	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_207	shield_food_stored	faction_to_faction_own_unseen	207.0	start_turn_completed
shield_food_storage_bundle_208	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_208	shield_food_stored	faction_to_faction_own_unseen	208.0	start_turn_completed
shield_food_storage_bundle_209	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_209	shield_food_stored	faction_to_faction_own_unseen	209.0	start_turn_completed
shield_food_storage_bundle_210	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_210	shield_food_stored	faction_to_faction_own_unseen	210.0	start_turn_completed
shield_food_storage_bundle_211	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_211	shield_food_stored	faction_to_faction_own_unseen	211.0	start_turn_completed
shield_food_storage_bundle_21	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_21	shield_food_stored	faction_to_faction_own_unseen	21.0	start_turn_completed
shield_food_storage_bundle_212	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_212	shield_food_stored	faction_to_faction_own_unseen	212.0	start_turn_completed
shield_food_storage_bundle_213	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_213	shield_food_stored	faction_to_faction_own_unseen	213.0	start_turn_completed
shield_food_storage_bundle_214	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_214	shield_food_stored	faction_to_faction_own_unseen	214.0	start_turn_completed
shield_food_storage_bundle_215	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_215	shield_food_stored	faction_to_faction_own_unseen	215.0	start_turn_completed
shield_food_storage_bundle_216	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_216	shield_food_stored	faction_to_faction_own_unseen	216.0	start_turn_completed
shield_food_storage_bundle_217	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_217	shield_food_stored	faction_to_faction_own_unseen	217.0	start_turn_completed
shield_food_storage_bundle_218	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_218	shield_food_stored	faction_to_faction_own_unseen	218.0	start_turn_completed
shield_food_storage_bundle_219	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_219	shield_food_stored	faction_to_faction_own_unseen	219.0	start_turn_completed
shield_food_storage_bundle_2	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_2	shield_food_stored	faction_to_faction_own_unseen	2.0	start_turn_completed
shield_food_storage_bundle_220	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_220	shield_food_stored	faction_to_faction_own_unseen	220.0	start_turn_completed
shield_food_storage_bundle_221	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_221	shield_food_stored	faction_to_faction_own_unseen	221.0	start_turn_completed
shield_food_storage_bundle_22	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_22	shield_food_stored	faction_to_faction_own_unseen	22.0	start_turn_completed
shield_food_storage_bundle_222	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_222	shield_food_stored	faction_to_faction_own_unseen	222.0	start_turn_completed
shield_food_storage_bundle_223	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_223	shield_food_stored	faction_to_faction_own_unseen	223.0	start_turn_completed
shield_food_storage_bundle_224	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_224	shield_food_stored	faction_to_faction_own_unseen	224.0	start_turn_completed
shield_food_storage_bundle_225	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_225	shield_food_stored	faction_to_faction_own_unseen	225.0	start_turn_completed
shield_food_storage_bundle_226	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_226	shield_food_stored	faction_to_faction_own_unseen	226.0	start_turn_completed
shield_food_storage_bundle_227	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_227	shield_food_stored	faction_to_faction_own_unseen	227.0	start_turn_completed
shield_food_storage_bundle_228	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_228	shield_food_stored	faction_to_faction_own_unseen	228.0	start_turn_completed
shield_food_storage_bundle_229	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_229	shield_food_stored	faction_to_faction_own_unseen	229.0	start_turn_completed
shield_food_storage_bundle_230	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_230	shield_food_stored	faction_to_faction_own_unseen	230.0	start_turn_completed
shield_food_storage_bundle_231	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_231	shield_food_stored	faction_to_faction_own_unseen	231.0	start_turn_completed
shield_food_storage_bundle_23	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_23	shield_food_stored	faction_to_faction_own_unseen	23.0	start_turn_completed
shield_food_storage_bundle_232	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_232	shield_food_stored	faction_to_faction_own_unseen	232.0	start_turn_completed
shield_food_storage_bundle_233	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_233	shield_food_stored	faction_to_faction_own_unseen	233.0	start_turn_completed
shield_food_storage_bundle_234	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_234	shield_food_stored	faction_to_faction_own_unseen	234.0	start_turn_completed
shield_food_storage_bundle_235	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_235	shield_food_stored	faction_to_faction_own_unseen	235.0	start_turn_completed
shield_food_storage_bundle_236	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_236	shield_food_stored	faction_to_faction_own_unseen	236.0	start_turn_completed
shield_food_storage_bundle_237	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_237	shield_food_stored	faction_to_faction_own_unseen	237.0	start_turn_completed
shield_food_storage_bundle_238	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_238	shield_food_stored	faction_to_faction_own_unseen	238.0	start_turn_completed
shield_food_storage_bundle_239	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_239	shield_food_stored	faction_to_faction_own_unseen	239.0	start_turn_completed
shield_food_storage_bundle_240	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_240	shield_food_stored	faction_to_faction_own_unseen	240.0	start_turn_completed
shield_food_storage_bundle_241	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_241	shield_food_stored	faction_to_faction_own_unseen	241.0	start_turn_completed
shield_food_storage_bundle_24	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_24	shield_food_stored	faction_to_faction_own_unseen	24.0	start_turn_completed
shield_food_storage_bundle_242	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_242	shield_food_stored	faction_to_faction_own_unseen	242.0	start_turn_completed
shield_food_storage_bundle_243	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_243	shield_food_stored	faction_to_faction_own_unseen	243.0	start_turn_completed
shield_food_storage_bundle_244	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_244	shield_food_stored	faction_to_faction_own_unseen	244.0	start_turn_completed
shield_food_storage_bundle_245	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_245	shield_food_stored	faction_to_faction_own_unseen	245.0	start_turn_completed
shield_food_storage_bundle_246	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_246	shield_food_stored	faction_to_faction_own_unseen	246.0	start_turn_completed
shield_food_storage_bundle_247	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_247	shield_food_stored	faction_to_faction_own_unseen	247.0	start_turn_completed
shield_food_storage_bundle_248	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_248	shield_food_stored	faction_to_faction_own_unseen	248.0	start_turn_completed
shield_food_storage_bundle_249	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_249	shield_food_stored	faction_to_faction_own_unseen	249.0	start_turn_completed
shield_food_storage_bundle_250	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_250	shield_food_stored	faction_to_faction_own_unseen	250.0	start_turn_completed
shield_food_storage_bundle_251	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_251	shield_food_stored	faction_to_faction_own_unseen	251.0	start_turn_completed
shield_food_storage_bundle_25	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_25	shield_food_stored	faction_to_faction_own_unseen	25.0	start_turn_completed
shield_food_storage_bundle_252	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_252	shield_food_stored	faction_to_faction_own_unseen	252.0	start_turn_completed
shield_food_storage_bundle_253	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_253	shield_food_stored	faction_to_faction_own_unseen	253.0	start_turn_completed
shield_food_storage_bundle_254	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_254	shield_food_stored	faction_to_faction_own_unseen	254.0	start_turn_completed
shield_food_storage_bundle_255	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_255	shield_food_stored	faction_to_faction_own_unseen	255.0	start_turn_completed
shield_food_storage_bundle_256	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_256	shield_food_stored	faction_to_faction_own_unseen	256.0	start_turn_completed
shield_food_storage_bundle_257	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_257	shield_food_stored	faction_to_faction_own_unseen	257.0	start_turn_completed
shield_food_storage_bundle_258	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_258	shield_food_stored	faction_to_faction_own_unseen	258.0	start_turn_completed
shield_food_storage_bundle_259	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_259	shield_food_stored	faction_to_faction_own_unseen	259.0	start_turn_completed
shield_food_storage_bundle_260	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_260	shield_food_stored	faction_to_faction_own_unseen	260.0	start_turn_completed
shield_food_storage_bundle_261	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_261	shield_food_stored	faction_to_faction_own_unseen	261.0	start_turn_completed
shield_food_storage_bundle_26	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
shield_food_storage_bundle_26	shield_food_stored	faction_to_faction_own_unseen	26.0	start_turn_completed
shield_food_storage_bundle_262	shield_food_decay	faction_to_faction_own_unseen	-1.0	start_turn_completed
