key	text	tooltip
#Loc PackedFile;1;text/db/building_chains.loc		
building_chains_encyclopedia_description_vik_achad_bo	Placeholder description	true
building_chains_chain_tooltip_vik_artisans	JEWELLER	true
building_chains_chain_tooltip_vik_moot_hill	MOOT HILL	true
building_chains_chain_tooltip_vik_wax	BEEKEEPER	true
building_chains_chain_tooltip_vik_merchant	MERCHANT	true
building_chains_chain_tooltip_vik_apple_ash	APPLE ASH	true
building_chains_chain_tooltip_vik_textiles	TEXTILES	true
building_chains_chain_tooltip_vik_workshop	INDUSTRIAL FORGE	true
building_chains_chain_tooltip_vik_garrison	VILLAGE WATCH	true
building_chains_chain_tooltip_vik_sculptors	HOGBACKS OF GUVAN	true
building_chains_chain_tooltip_vik_assembly	ASSEMBLY	true
building_chains_chain_tooltip_vik_rock_caisil	ROCK OF CAISIL	true
building_chains_chain_tooltip_vik_monastery	MONASTERY	true
building_chains_chain_tooltip_vik_st_ringan	CHURCH OF ST RINGAN	true
building_chains_encyclopedia_name_vik_bullaun	BULLAUN	true
building_chains_encyclopedia_name_vik_orchard	ORCHARD	true
building_chains_encyclopedia_name_vik_granary	GRANARY	true
building_chains_chain_tooltip_vik_tin	TIN	true
building_chains_encyclopedia_name_vik_st_dewi	CHURCH OF ST. DEWI	true
building_chains_chain_tooltip_vik_warehouse	WAREHOUSE	true
building_chains_chain_tooltip_vik_alehouse	TAVERN	true
building_chains_chain_tooltip_vik_longphort	LONGPHORT	true
building_chains_encyclopedia_name_vik_scribes	SCRIBES	true
building_chains_encyclopedia_name_vik_fishing	MINOR PORT	true
building_chains_chain_tooltip_vik_runestone	RUNESTONE	true
building_chains_chain_tooltip_vik_st_edmund	ABBEY OF ST. EDMUND	true
building_chains_chain_tooltip_att_abandoned	Ruins	true
building_chains_chain_tooltip_vik_st_brigit	CHURCH OF ST. BRIGIT	true
building_chains_chain_tooltip_vik_st_cuthbert	CHURCH OF ST. CUTHBERT	true
building_chains_encyclopedia_description_vik_artisans	Placeholder description	true
building_chains_chain_tooltip_vik_achad_bo	MONASTERY OF ST CAINNECH	true
building_chains_encyclopedia_name_vik_hunting	HUNTING	true
building_chains_encyclopedia_name_vik_library	LIBRARY	true
building_chains_encyclopedia_name_vik_pottery	POTTERY	true
building_chains_encyclopedia_description_vik_assembly	Placeholder description	true
building_chains_encyclopedia_description_vik_merchant	Placeholder description	true
building_chains_encyclopedia_description_vik_workshop	Placeholder description	true
building_chains_encyclopedia_description_vik_garrison	Placeholder description	true
building_chains_encyclopedia_description_vik_textiles	Placeholder description	true
building_chains_encyclopedia_name_vik_master_forge	STADFORDSCIR FORGE	true
building_chains_encyclopedia_description_vik_celi_de_abbey	Placeholder description	true
building_chains_chain_tooltip_vik_st_ciaran	MONASTERY OF ST. CIARAN	true
building_chains_encyclopedia_name_vik_celi_de_abbey	CÉLI DÉ ABBEY	true
building_chains_chain_tooltip_vik_guildhall	GUILDHALL	true
building_chains_encyclopedia_name_vik_pasture	PASTURE	true
