key	text	tooltip
#Loc PackedFile;1;text/db/building_short_description_texts.loc		
building_short_description_texts_short_description_vik_copper_1_short	The red metal of Cyprus can also be found in these parts.	true
building_short_description_texts_short_description_vik_copper_2_short	To take advantage of copper’s useful qualities, all that is needed is a deep-lying trench.	true
building_short_description_texts_short_description_vik_copper_3_short	The sulphides extracted from the open-face mines are processed here.	true
building_short_description_texts_short_description_vik_copper_4_short	All that is copper will bring profits in gold.	true
building_short_description_texts_short_description_vik_copper_5_short	The bronze age may have long ended, but the alloy remains important for a multitude of applications.	true
building_short_description_texts_short_description_vik_bard_1_short	"Come, sit, let me tell you stories of the chieftains and kings of yore…"	true
building_short_description_texts_short_description_vik_bard_2_short	A culture cultivated and protected by the bards will surely prevail.	true
building_short_description_texts_short_description_vik_bard_3_short	The master performs the bardic rites, echoing the panegyrics and eulogies down the ages.	true
building_short_description_texts_short_description_vik_farm_1_short	Where space is plentiful and the soil is fertile, even a fool can subsist.	true
building_short_description_texts_short_description_vik_farm_2_short	Utilised for the benefit of all, arable fields are the nuclei of communities.	true
building_short_description_texts_short_description_vik_farm_3_short	If the land is taken care of, the land takes care of the people.	true
building_short_description_texts_short_description_vik_farm_4_short	Selions are worked by the tenants - chiefly for their lord, but also for their own subsistence.	true
building_short_description_texts_short_description_vik_farm_5_short	Such a sizeable agricultural operation ensures that everyone is fed and a surplus is maintained.	true
building_short_description_texts_short_description_vik_celi_de_abbey_1_short	Even the most unassuming priory can be at the very centre of communal life.	true
building_short_description_texts_short_description_vik_celi_de_abbey_2_short	The priory’s teachings emphasise grace and nature as gifts from God.	true
building_short_description_texts_short_description_vik_celi_de_abbey_3_short	Celtic church life provides the bedrock for the world of monastic asceticism.	true
building_short_description_texts_short_description_vik_celi_de_abbey_4_short	A central symbol for the regulation and observance of the devout.	true
building_short_description_texts_short_description_vik_celi_de_abbey_5_short	Within this grand abode, holy figures of Celtic Christianity are commemorated.	true
building_short_description_texts_short_description_vik_fishing_b_2_short	The fishmonger doesn't just sell the catch, he is also an expert in boning, filleting and generally preparing the fish for table.	true
building_short_description_texts_short_description_vik_fishing_b_3_short	It may smell suspect, but fresh fish fetches a good price.	true
building_short_description_texts_short_description_vik_fishing_b_4_short	What you cannot eat or preserve yourselves, can be sold, or bartered for other goods desired.	true
building_short_description_texts_short_description_vik_fishing_b_5_short	"Whatever the master wants. I am certain I can supply the freshest flounder he has ever tasted - I'll stake my reputation on it, in fact!"	true
building_short_description_texts_short_description_vik_st_cuthbert_1_short	The sacred relics of Cuthbert embody the oneness of Britain’s Christian diaspora.	true
