key	text	tooltip
#Loc PackedFile;1;text/db/food_storage_bundles.loc		
effect_bundles_localised_title_shield_food_storage_bundle_205	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_225	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_245	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_265	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_285	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_305	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_325	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_345	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_365	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_385	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_204	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_224	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_244	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_264	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_284	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_304	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_324	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_344	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_364	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_384	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_207	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_227	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_247	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_267	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_287	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_307	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_327	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_347	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_367	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_387	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_206	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_226	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_246	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_266	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_286	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_306	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_326	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_346	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_366	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_386	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_201	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_221	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_241	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_261	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_281	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_301	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_321	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_341	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_361	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_381	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_200	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_220	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_240	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_260	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_280	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_300	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_320	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_340	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_360	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_380	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_400	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_203	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_223	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_243	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_263	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_283	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_303	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_323	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_343	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_363	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_383	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_202	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_222	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_242	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_262	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_282	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_302	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_322	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_342	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_362	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_382	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_213	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_233	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_253	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_273	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_293	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_313	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_333	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_353	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_373	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_393	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_212	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_232	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_252	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_272	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_292	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_312	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_332	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_352	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_372	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_392	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_215	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_235	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_255	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_275	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_295	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_315	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_335	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_355	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_375	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_395	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_214	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_234	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_254	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_274	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_294	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_314	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_334	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_354	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_374	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_394	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_209	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_229	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_249	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_269	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_289	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_309	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_329	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_349	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_369	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_389	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_208	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_228	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_248	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_268	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_288	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_308	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_328	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_348	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_368	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_388	Food Stores	true
effect_bundles_localised_title_shield_food_storage_bundle_211	Food Stores	true
