id	incident_key	option_key	value
#cdir_events_incident_option_junctions_tables;2;db/cdir_events_incident_option_junctions_tables/new_decrees			
41676295	sw_decree_mierce_church	GEN_TARGET_NONE	
41676296	sw_decree_mierce_lords	GEN_TARGET_NONE	
41676297	sw_decree_mierce_pay_hoards	GEN_TARGET_NONE	
41676298	sw_decree_mierce_warriors	GEN_TARGET_NONE	
41676299	sw_decree_northleode_bebbanburg	GEN_TARGET_NONE	
41676300	sw_decree_northleode_dun_foither	GEN_TARGET_NONE	
41676301	sw_decree_northleode_tamworthige	GEN_TARGET_NONE	
41676302	sw_decree_northleode_eoferwic	GEN_TARGET_NONE	
41676303	sw_decree_wessex_ad_hoc_levy	GEN_TARGET_NONE	
41676304	sw_decree_wessex_fyrd	GEN_TARGET_NONE	
41676305	sw_decree_wessex_scholarship	GEN_TARGET_NONE	
41676306	sw_decree_wessex_witan	GEN_TARGET_NONE	
41676307	sw_decree_mierce_church	VAR_CHANCE	100
41676308	sw_decree_mierce_lords	VAR_CHANCE	100
41676309	sw_decree_mierce_pay_hoards	VAR_CHANCE	100
41676310	sw_decree_mierce_warriors	VAR_CHANCE	100
41676311	sw_decree_northleode_bebbanburg	VAR_CHANCE	100
41676312	sw_decree_northleode_dun_foither	VAR_CHANCE	100
41676313	sw_decree_northleode_tamworthige	VAR_CHANCE	100
41676314	sw_decree_northleode_eoferwic	VAR_CHANCE	100
41676315	sw_decree_wessex_ad_hoc_levy	VAR_CHANCE	100
41676316	sw_decree_wessex_fyrd	VAR_CHANCE	100
41676317	sw_decree_wessex_scholarship	VAR_CHANCE	100
41676318	sw_decree_wessex_witan	VAR_CHANCE	100
41676319	sw_decree_mierce_church	VAR_FOLLOWUP_CHANCE	100
41676320	sw_decree_mierce_lords	VAR_FOLLOWUP_CHANCE	100
41676321	sw_decree_mierce_pay_hoards	VAR_FOLLOWUP_CHANCE	100
41676322	sw_decree_mierce_warriors	VAR_FOLLOWUP_CHANCE	100
41676323	sw_decree_northleode_bebbanburg	VAR_FOLLOWUP_CHANCE	100
41676324	sw_decree_northleode_dun_foither	VAR_FOLLOWUP_CHANCE	100
41676325	sw_decree_northleode_tamworthige	VAR_FOLLOWUP_CHANCE	100
41676326	sw_decree_northleode_eoferwic	VAR_FOLLOWUP_CHANCE	100
41676327	sw_decree_wessex_ad_hoc_levy	VAR_FOLLOWUP_CHANCE	100
41676328	sw_decree_wessex_fyrd	VAR_FOLLOWUP_CHANCE	100
41676329	sw_decree_wessex_scholarship	VAR_FOLLOWUP_CHANCE	100
41676330	sw_decree_wessex_witan	VAR_FOLLOWUP_CHANCE	100
41676331	sw_decree_gwined_song_of_mead	GEN_TARGET_NONE	
41676332	sw_decree_gwined_song_of_mead	VAR_CHANCE	100
41676333	sw_decree_gwined_song_of_mead	VAR_FOLLOWUP_CHANCE	100
41676334	sw_decree_gwined_song_of_horses	GEN_TARGET_NONE	
41676335	sw_decree_gwined_song_of_horses	VAR_CHANCE	100
41676336	sw_decree_gwined_song_of_horses	VAR_FOLLOWUP_CHANCE	100
41676337	sw_decree_gwined_song_of_pendragon	GEN_TARGET_NONE	
41676338	sw_decree_gwined_song_of_pendragon	VAR_CHANCE	100
41676339	sw_decree_gwined_song_of_pendragon	VAR_FOLLOWUP_CHANCE	100
41676340	sw_decree_gwined_song_of_thousand_sons	GEN_TARGET_NONE	
41676341	sw_decree_gwined_song_of_thousand_sons	VAR_CHANCE	100
41676342	sw_decree_gwined_song_of_thousand_sons	VAR_FOLLOWUP_CHANCE	100
