id	incident_key	payload_key	value
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/new_decrees			
41676295	sw_decree_northleode_bebbanburg	sw_decree_northleode_bebbanburg	DURATION[6]
41676296	sw_decree_northleode_dun_foither	sw_decree_northleode_dun_foither	DURATION[6]
41676297	sw_decree_northleode_tamworthige	sw_decree_northleode_tamworthige	DURATION[6]
41676298	sw_decree_northleode_eoferwic	sw_decree_northleode_eoferwic	DURATION[6]
41676299	sw_decree_northleode_eoferwic	REPLENISH_UNIT_SET	UNIT_SET[thegns];COUNT[2]
41676300	sw_decree_mierce_church	sw_decree_mierce_church	DURATION[6]
41676301	sw_decree_mierce_lords	sw_decree_mierce_lords	DURATION[6]
41676303	sw_decree_mierce_warriors	sw_decree_mierce_warriors	DURATION[6]
41676304	sw_decree_mierce_lords	REPLENISH_UNIT_SET	UNIT_SET[thegns];COUNT[2]
41676305	sw_decree_mierce_warriors	REPLENISH_UNIT_SET	UNIT_SET[marcher_units];COUNT[2]
41676306	sw_decree_wessex_ad_hoc_levy	sw_decree_wessex_ad_hoc_levy	DURATION[6]
41676307	sw_decree_wessex_fyrd	sw_decree_wessex_fyrd	DURATION[6]
41676308	sw_decree_wessex_scholarship	sw_decree_wessex_scholarship	DURATION[6]
41676309	sw_decree_wessex_witan	sw_decree_wessex_witan	DURATION[6]
41676310	sw_decree_wessex_ad_hoc_levy	REPLENISH_UNIT_SET	UNIT_SET[select_units];COUNT[2]
41676311	sw_decree_wessex_fyrd	REPLENISH_UNIT_SET	UNIT_SET[fyrdmen_infantry];COUNT[3]
41676312	sw_decree_wessex_fyrd	REPLENISH_UNIT_SET	UNIT_SET[fyrdmen_skirmishers];COUNT[2]
41676313	sw_decree_wessex_scholarship	CHANGE_GRAVITAS	AMOUNT[-1];OWN_FACTION_LEADER
41676314	sw_decree_wessex_witan	CHANGE_GRAVITAS	AMOUNT[-2];OWN_FACTION_LEADER
41676315	sw_decree_wessex_ad_hoc_levy	CHANGE_GRAVITAS	AMOUNT[-1];OWN_FACTION_LEADER
41676316	sw_decree_wessex_fyrd	CHANGE_GRAVITAS	AMOUNT[-1];OWN_FACTION_LEADER
41676317	sw_decree_gwined_song_of_mead	sw_decree_gwined_song_of_mead	DURATION[12]
41676318	sw_decree_gwined_song_of_horses	sw_decree_gwined_song_of_horses	DURATION[12]
41676319	sw_decree_gwined_song_of_pendragon	CHANGE_GRAVITAS	AMOUNT[2];OWN_FACTION_LEADER
41676320	sw_decree_gwined_song_of_pendragon	REPLENISH_UNIT_SET	UNIT_SET[penteulu];COUNT[1]
41676321	sw_decree_gwined_song_of_thousand_sons	sw_decree_gwined_song_of_thousand_sons	DURATION[12]
41676322	sw_decree_gwined_song_of_thousand_sons	REPLENISH_UNIT_SET	UNIT_SET[taeog];COUNT[8]
