payload_key	effect_bundle_key
#cdir_events_payloads_tables;0;db/cdir_events_payloads_tables/decree_payloads	
sw_decree_mierce_church	sw_decree_mierce_church
sw_decree_mierce_lords	sw_decree_mierce_lords
sw_decree_mierce_pay_hoards	sw_decree_mierce_pay_hoards
sw_decree_mierce_warriors	sw_decree_mierce_warriors
sw_decree_northleode_bebbanburg	sw_decree_northleode_bebbanburg
sw_decree_northleode_dun_foither	sw_decree_northleode_dun_foither
sw_decree_northleode_tamworthige	sw_decree_northleode_tamworthige
sw_decree_northleode_eoferwic	sw_decree_northleode_eoferwic
sw_decree_wessex_ad_hoc_levy	sw_decree_wessex_ad_hoc_levy
sw_decree_wessex_fyrd	sw_decree_wessex_fyrd
sw_decree_wessex_scholarship	sw_decree_wessex_scholarship
sw_decree_wessex_witan	sw_decree_wessex_witan
sw_decree_gwined_song_of_mead	sw_decree_gwined_song_of_mead
sw_decree_gwined_song_of_horses	sw_decree_gwined_song_of_horses
sw_decree_gwined_song_of_pendragon	sw_decree_gwined_song_of_pendragon
sw_decree_gwined_song_of_thousand_sons	sw_decree_gwined_song_of_thousand_sons
