decree	decree_group
#decree_groups_to_decrees_tables;0;db/decree_groups_to_decrees_tables/decree_groups_to_decrees	
vik_decree_circenn_1	vik_decree_group_circenn
vik_decree_circenn_2	vik_decree_group_circenn
vik_decree_circenn_3	vik_decree_group_circenn
vik_decree_circenn_4	vik_decree_group_circenn
vik_decree_dyflin_1	vik_decree_group_dyflin
vik_decree_dyflin_2	vik_decree_group_dyflin
vik_decree_dyflin_3	vik_decree_group_dyflin
vik_decree_dyflin_4	vik_decree_group_dyflin
vik_decree_east_engle_1	vik_decree_group_east_engle
vik_decree_east_engle_2	vik_decree_group_east_engle
vik_decree_east_engle_3	vik_decree_group_east_engle
vik_decree_east_engle_4	vik_decree_group_east_engle
vik_decree_gwined_1	vik_decree_group_gwined
vik_decree_gwined_2	vik_decree_group_gwined
vik_decree_gwined_3	vik_decree_group_gwined
vik_decree_gwined_4	vik_decree_group_gwined
vik_decree_mide_1	vik_decree_group_mide
vik_decree_mide_2	vik_decree_group_mide
vik_decree_mide_3	vik_decree_group_mide
vik_decree_mide_4	vik_decree_group_mide
vik_decree_mierce_1	vik_decree_group_mierce
vik_decree_mierce_2	vik_decree_group_mierce
vik_decree_mierce_3	vik_decree_group_mierce
vik_decree_mierce_4	vik_decree_group_mierce
vik_decree_northymbre_1	vik_decree_group_northymbre
vik_decree_northymbre_2	vik_decree_group_northymbre
vik_decree_northymbre_3	vik_decree_group_northymbre
vik_decree_northymbre_4	vik_decree_group_northymbre
vik_decree_strat_clut_1	vik_decree_group_strat_clut
vik_decree_strat_clut_2	vik_decree_group_strat_clut
vik_decree_strat_clut_3	vik_decree_group_strat_clut
vik_decree_strat_clut_4	vik_decree_group_strat_clut
vik_decree_sudreyar_1	vik_decree_group_sudreyar
vik_decree_sudreyar_2	vik_decree_group_sudreyar
vik_decree_sudreyar_3	vik_decree_group_sudreyar
vik_decree_sudreyar_4	vik_decree_group_sudreyar
vik_decree_west_seaxe_1	vik_decree_group_west_seaxe
vik_decree_west_seaxe_2	vik_decree_group_west_seaxe
vik_decree_west_seaxe_3	vik_decree_group_west_seaxe
vik_decree_west_seaxe_4	vik_decree_group_west_seaxe
vik_decree_northleode_1	vik_decree_group_northleode
vik_decree_northleode_2	vik_decree_group_northleode
vik_decree_northleode_3	vik_decree_group_northleode
vik_decree_northleode_4	vik_decree_group_northleode
