effect	icon	priority	icon_negative	is_hidden
#effects_tables;3;db/effects_tables/new_decree_effects				
sw_decree_refresh_movement	beat_the_drums.png	2	beat_the_drums.png	false
sw_decree_select_fyrd_levy	cult_english_fyrd.png	3	cult_english_fyrd.png	false
sw_decree_fyrd_levy	cult_english_fyrd.png	4	cult_english_fyrd.png	false
sw_decree_movement_speed_bonus	campaign_movement.png	1	campaign_movement.png	false
sw_decree_decree_cost	decrees.png	2	decrees.png	false
sw_decree_loyalty	loyalty.png	1	loyalty.png	false
sw_decree_level_up_characters	experience_positive.png	2	experience_positive.png	false
sw_hoards_loyalty	loyalty.png	1	loyalty_negative.png	false
sw_hoards_income	income.png	2	income.png	false
sw_hoards_empty_jealous	loyalty_negative.png	2	loyalty_negative.png	false
sw_hoards_empty_tax	tax.png	2	tax.png	false
sw_decree_hoard_added	hoards.png	2	hoards.png	false
sw_decree_recruitment_cost	wealth.png	3	wealth.png	false
sw_decree_thegns	replenishment_pools.png	2	replenishment_pools.png	false
sw_decree_hoard_explained	decrees.png	1	decrees.png	false
sw_decree_marcher	trait_mierce.png	1	trait_mierce.png	false
sw_decree_no_penalty_wrong_allegience	allegiance.png	3	allegiance.png	false
sw_decree_morale_against_vikings	morale.png	1	morale_negative.png	false
sw_decree_charge_against_scottish	charge.png	1	charge.png	false
sw_decree_skill_against_saxons	melee_skill.png	1	melee_skill.png	false
sw_decree_enables_confederation	faction_leader.png	2	faction_leader.png	false
sw_decree_unlocks_penteulu	cult_welsh_heroism.png	1	cult_welsh_heroism.png	false
sw_decree_ends_riots	cult_welsh_heroism.png	1	cult_welsh_heroism.png	false
sw_decree_taeog	spearmen_units.png	1	spearmen_units.png	false
sw_decree_cavalry_except_hero	increased_pool_max_cavalry.png	4	increased_pool_max_cavalry.png	false
sw_decree_influence_dummy	influence.png	2	influence.png	false
