choice_key	dilemma_key
#cdir_events_dilemma_choice_details_tables;0;db/cdir_events_dilemma_choice_details_tables/northleode_events	
FIRST	sw_northleode_help_against_strat_clut
FIRST	sw_northleode_help_against_jorvik
FIRST	sw_northleode_betrayal_east_engle
FIRST	sw_northleode_betrayal_mierce
SECOND	sw_northleode_help_against_strat_clut
SECOND	sw_northleode_help_against_jorvik
SECOND	sw_northleode_betrayal_east_engle
SECOND	sw_northleode_betrayal_mierce
FIRST	sw_mierce_djurby_capitulates
FIRST	sw_mierce_scheme_against_wessex
SECOND	sw_mierce_djurby_capitulates
SECOND	sw_mierce_scheme_against_wessex
THIRD	sw_mierce_scheme_against_wessex
FIRST	sw_gwined_avenge_rhodri
SECOND	sw_gwined_avenge_rhodri
