id	choice_key	dilemma_key	payload_key	value
#cdir_events_dilemma_payloads_tables;2;db/cdir_events_dilemma_payloads_tables/northleode_events				
90210	FIRST	sw_northleode_help_against_strat_clut	TEXT_DISPLAY	LOOKUP[war_with_strat_clut]
90211	FIRST	sw_northleode_help_against_jorvik	TEXT_DISPLAY	LOOKUP[war_with_jorvik]
90212	FIRST	sw_northleode_betrayal_east_engle	TEXT_DISPLAY	LOOKUP[war_with_jorvik]
90213	FIRST	sw_northleode_betrayal_east_engle	TREASURY	AMOUNT[5000]
90214	FIRST	sw_northleode_betrayal_mierce	TEXT_DISPLAY	LOOKUP[war_with_jorvik]
90215	FIRST	sw_northleode_betrayal_mierce	sw_northleode_friend_of_mercia	DURATION[20]
90216	SECOND	sw_northleode_help_against_strat_clut	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
90217	SECOND	sw_northleode_help_against_jorvik	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
90218	SECOND	sw_northleode_betrayal_east_engle	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
90230	SECOND	sw_northleode_betrayal_mierce	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
90231	FIRST	sw_mierce_djurby_capitulates	TEXT_DISPLAY	LOOKUP[djurby_becomes_vassal]
90232	FIRST	sw_mierce_djurby_capitulates	TREASURY	AMOUNT[500]
90233	FIRST	sw_mierce_scheme_against_wessex	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
90234	SECOND	sw_mierce_djurby_capitulates	TEXT_DISPLAY	LOOKUP[djurby_war_continues]
90235	SECOND	sw_mierce_scheme_against_wessex	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
90236	THIRD	sw_mierce_scheme_against_wessex	TEXT_DISPLAY	LOOKUP[sw_do_nothing]
90237	FIRST	sw_gwined_avenge_rhodri	TEXT_DISPLAY	LOOKUP[powis_declares_war_soon]
90238	FIRST	sw_gwined_avenge_rhodri	TEXT_DISPLAY	LOOKUP[heroism_5]
90239	SECOND	sw_gwined_avenge_rhodri	TEXT_DISPLAY	LOOKUP[breaks_powis_alliance]
