id	incident_key	payload_key	value
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/sw_incidents_gva			
652370	sw_normans_invasion_prelude	TEXT_DISPLAY	LOOKUP[dummy_invasion_prelude]
652371	sw_normans_invasion_near_werham	TEXT_DISPLAY	LOOKUP[dummy_near_werham]
652372	sw_normans_invasion_near_lunden	TEXT_DISPLAY	LOOKUP[dummy_near_lunden]
652373	sw_normans_invasion_near_northwic	TEXT_DISPLAY	LOOKUP[dummy_near_northwic]
652374	sw_normans_invasion_near_tintagol	TEXT_DISPLAY	LOOKUP[dummy_near_tintagol]
652375	sw_normans_invasion_far_away	TEXT_DISPLAY	LOOKUP[dummy_far_away]
652376	sw_normans_conqueror_survives	TEXT_DISPLAY	LOOKUP[dummy_conqueror_survives]
652377	sw_normans_conqueror_dies	TEXT_DISPLAY	LOOKUP[dummy_conqueror_dies]
652378	sw_norse_invasion_arrives	TEXT_DISPLAY	LOOKUP[dummy_invasion_arrives]
652379	sw_norse_conqueror_dies	TEXT_DISPLAY	LOOKUP[dummy_conqueror_dies]
652380	sw_norse_invasion_attacks	TEXT_DISPLAY	LOOKUP[dummy_invasion_attacks]
652381	sw_mierce_welsh_infighting	TEXT_DISPLAY	LOOKUP[welsh_infighting]
652382	sw_mierce_welsh_invasion	TEXT_DISPLAY	LOOKUP[welsh_invasion_soon]
652383	sw_mierce_welsh_war	TEXT_DISPLAY	LOOKUP[welsh_attack]
652384	sw_mierce_welsh_gwined	TEXT_DISPLAY	LOOKUP[gwined_attack]
652385	sw_gwined_seisilwig_powergrab	TEXT_DISPLAY	LOOKUP[seisilwig_neighbours]
652386	sw_gwined_seisilwig_helps	TEXT_DISPLAY	LOOKUP[seisilwig_help]
652387	sw_gwined_seisilwig_betrays	TEXT_DISPLAY	LOOKUP[seisilwig_betrayal]
652388	sw_ai_welsh_infighting	TEXT_DISPLAY	LOOKUP[ai_welsh_infight]
652389	sw_ai_welsh_invade_mierce	TEXT_DISPLAY	LOOKUP[ai_welsh_attack]
