issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;0;db/cdir_events_mission_issuer_junctions_tables/sw_faction_mechanics_heroism	
SHOGUN	sw_heroism_vik_fact_aileach
SHOGUN	sw_heroism_vik_fact_airer_goidel
SHOGUN	sw_heroism_vik_fact_airgialla
SHOGUN	sw_heroism_vik_fact_athfochla
SHOGUN	sw_heroism_vik_fact_bedeborg
SHOGUN	sw_heroism_vik_fact_brechinauc
SHOGUN	sw_heroism_vik_fact_brega
SHOGUN	sw_heroism_vik_fact_breifne
SHOGUN	sw_heroism_vik_fact_caisil
SHOGUN	sw_heroism_vik_fact_cent
SHOGUN	sw_heroism_vik_fact_cerneu
SHOGUN	sw_heroism_vik_fact_circenn
SHOGUN	sw_heroism_vik_fact_connacht
SHOGUN	sw_heroism_vik_fact_defena
SHOGUN	sw_heroism_vik_fact_dene
SHOGUN	sw_heroism_vik_fact_desmuma
SHOGUN	sw_heroism_vik_fact_djurby
SHOGUN	sw_heroism_vik_fact_dorsaete
SHOGUN	sw_heroism_vik_fact_dubgaill
SHOGUN	sw_heroism_vik_fact_dyfet
SHOGUN	sw_heroism_vik_fact_dyflin
SHOGUN	sw_heroism_vik_fact_east_engle
SHOGUN	sw_heroism_vik_fact_east_seaxe
SHOGUN	sw_heroism_vik_fact_finngaill
SHOGUN	sw_heroism_vik_fact_fortriu
SHOGUN	sw_heroism_vik_fact_gallgoidel
SHOGUN	sw_heroism_vik_fact_gliwissig
SHOGUN	sw_heroism_vik_fact_grantebru
SHOGUN	sw_heroism_vik_fact_gwent
SHOGUN	sw_heroism_vik_fact_gwined
SHOGUN	sw_heroism_vik_fact_haeden
SHOGUN	sw_heroism_vik_fact_heimiliborg
SHOGUN	sw_heroism_vik_fact_hellirborg
SHOGUN	sw_heroism_vik_fact_hlymrekr
SHOGUN	sw_heroism_vik_fact_holdrness
SHOGUN	sw_heroism_vik_fact_hwicce
SHOGUN	sw_heroism_vik_fact_hylrborg
SHOGUN	sw_heroism_vik_fact_iarmuma
SHOGUN	sw_heroism_vik_fact_laigin
SHOGUN	sw_heroism_vik_fact_ledeborg
SHOGUN	sw_heroism_vik_fact_mide
SHOGUN	sw_heroism_vik_fact_mierce
SHOGUN	sw_heroism_vik_fact_myrrborg
SHOGUN	sw_heroism_vik_fact_nordmann
SHOGUN	sw_heroism_vik_fact_normaunds
SHOGUN	sw_heroism_vik_fact_norse
SHOGUN	sw_heroism_vik_fact_northleode
SHOGUN	sw_heroism_vik_fact_northymbre
SHOGUN	sw_heroism_vik_fact_orkneyar
SHOGUN	sw_heroism_vik_fact_osraige
SHOGUN	sw_heroism_vik_fact_powis
SHOGUN	sw_heroism_vik_fact_seisilwig
SHOGUN	sw_heroism_vik_fact_steinnborg
SHOGUN	sw_heroism_vik_fact_strat_clut
SHOGUN	sw_heroism_vik_fact_sudreyar
SHOGUN	sw_heroism_vik_fact_suth_seaxe
SHOGUN	sw_heroism_vik_fact_tuadmuma
SHOGUN	sw_heroism_vik_fact_ulaid
SHOGUN	sw_heroism_vik_fact_vedrafjordr
SHOGUN	sw_heroism_vik_fact_veidrborg
SHOGUN	sw_heroism_vik_fact_veisafjordr
SHOGUN	sw_heroism_vik_fact_west_seaxe
SHOGUN	sw_heroism_vik_fact_westernas
SHOGUN	sw_heroism_vik_fact_westmoringas
SHOGUN	sw_heroism_vik_fact_wicing
SHOGUN	sw_heroism_region_vik_reg_aberffro
SHOGUN	sw_heroism_region_vik_reg_aberteifi
SHOGUN	sw_heroism_region_vik_reg_cair_gwent
SHOGUN	sw_heroism_region_vik_reg_dinefwr
SHOGUN	sw_heroism_region_vik_reg_guvan
SHOGUN	sw_heroism_region_vik_reg_mathrafal
SHOGUN	sw_heroism_defeat_bandits
