id	mission_key	option_key	value
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/english_start			
90210	sw_start_mierce	CND_CAMPAIGN	vik_attila
90211	sw_start_mierce	GEN_TARGET_NONE	
90212	sw_start_mierce	VAR_CHANCE	100
90213	sw_start_mierce	VAR_MISSION_LENGTH_MIN	
90214	sw_start_mierce	VAR_MISSION_LENGTH_MAX	
90215	sw_start_mierce	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_start_mierce
90216	sw_start_mierce	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_ledeborg
90217	sw_start_wessex	CND_CAMPAIGN	vik_attila
90218	sw_start_wessex	GEN_TARGET_NONE	
90219	sw_start_wessex	VAR_CHANCE	100
90220	sw_start_wessex	VAR_MISSION_LENGTH_MIN	
90221	sw_start_wessex	VAR_MISSION_LENGTH_MAX	
90222	sw_start_wessex	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_start_wessex
90223	sw_start_wessex	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_jorvik
90224	sw_start_northleode	CND_CAMPAIGN	vik_attila
90225	sw_start_northleode	GEN_TARGET_NONE	
90226	sw_start_northleode	VAR_CHANCE	100
90227	sw_start_northleode	VAR_MISSION_LENGTH_MIN	
90228	sw_start_northleode	VAR_MISSION_LENGTH_MAX	
90229	sw_start_northleode	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_start_northleode
90230	sw_start_northleode	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_wicing
90231	sw_start_gwined	CND_CAMPAIGN	vik_attila
90232	sw_start_gwined	GEN_TARGET_NONE	
90233	sw_start_gwined	VAR_CHANCE	100
90234	sw_start_gwined	VAR_MISSION_LENGTH_MIN	
90235	sw_start_gwined	VAR_MISSION_LENGTH_MAX	
90236	sw_start_gwined	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_start_wessex
90237	sw_start_gwined	VAR_OBJECTIVE_LOCATION_CUSTOM_FACTION	vik_fact_jorvik
90238	sw_mierce_oswald_bones	VAR_OBJECTIVE_CUSTOM_COMPLETION_STATUS	campaign_localised_strings_string_sw_mierce_oswald_bones
90239	sw_mierce_oswald_bones	VAR_OBJECTIVE_LOCATION_CUSTOM_REGION	vik_reg_eoferwic
90240	sw_mierce_oswald_bones	GEN_TARGET_NONE	
90241	sw_mierce_oswald_bones	VAR_MISSION_LENGTH_MIN	
90242	sw_mierce_oswald_bones	VAR_MISSION_LENGTH_MAX	
90243	sw_mierce_oswald_bones	VAR_CHANCE	100
