effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!front_end_geal				
vik_faction_trait_gael	sw_fe_geals_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_gael	sw_fe_geals_2	faction_to_region_own_unseen	50.0	start_turn_completed
vik_faction_trait_gael	sw_fe_geals_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mide	sw_fe_mide_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mide	sw_fe_mide_2	faction_to_faction_own_unseen	-20.0	start_turn_completed
vik_faction_trait_mide	sw_fe_mide_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_circenn	sw_fe_circenn_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_circenn	sw_fe_circenn_2	faction_to_army_own	-35.0	start_turn_completed
vik_faction_trait_circenn	sw_fe_circenn_3	faction_to_region_own_unseen	-25.0	start_turn_completed
vik_faction_trait_mide_campaign	sw_fe_geals_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mide_campaign	sw_fe_geals_2	faction_to_region_own_unseen	50.0	start_turn_completed
vik_faction_trait_mide_campaign	sw_fe_geals_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mide_campaign	sw_fe_mide_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mide_campaign	sw_fe_mide_2	faction_to_faction_own_unseen	-20.0	start_turn_completed
vik_faction_trait_mide_campaign	sw_fe_mide_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_temhair_mide	sw_fe_geals_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_temhair_mide	sw_fe_geals_2	faction_to_region_own_unseen	50.0	start_turn_completed
vik_kingdom_temhair_mide	sw_fe_geals_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_temhair_mide	sw_fe_mide_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_temhair_mide	sw_fe_mide_2	faction_to_faction_own_unseen	-20.0	start_turn_completed
vik_kingdom_temhair_mide	sw_fe_mide_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_ireland_mide	sw_fe_geals_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_ireland_mide	sw_fe_geals_2	faction_to_region_own_unseen	50.0	start_turn_completed
vik_kingdom_ireland_mide	sw_fe_geals_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_ireland_mide	sw_fe_mide_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_ireland_mide	sw_fe_mide_2	faction_to_faction_own_unseen	-20.0	start_turn_completed
vik_kingdom_ireland_mide	sw_fe_mide_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_circenn_campaign	sw_fe_geals_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_circenn_campaign	sw_fe_geals_2	faction_to_region_own_unseen	50.0	start_turn_completed
vik_faction_trait_circenn_campaign	sw_fe_geals_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_circenn_campaign	sw_fe_circenn_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_circenn_campaign	sw_fe_circenn_2	faction_to_army_own	-35.0	start_turn_completed
vik_faction_trait_circenn_campaign	sw_fe_circenn_3	faction_to_region_own_unseen	-25.0	start_turn_completed
vik_kingdom_alba_circenn	sw_fe_geals_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_alba_circenn	sw_fe_geals_2	faction_to_region_own_unseen	50.0	start_turn_completed
vik_kingdom_alba_circenn	sw_fe_geals_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_alba_circenn	sw_fe_circenn_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_alba_circenn	sw_fe_circenn_2	faction_to_army_own	-35.0	start_turn_completed
vik_kingdom_alba_circenn	sw_fe_circenn_3	faction_to_region_own_unseen	-25.0	start_turn_completed
vik_kingdom_scotland_circenn	sw_fe_geals_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_scotland_circenn	sw_fe_geals_2	faction_to_region_own_unseen	50.0	start_turn_completed
vik_kingdom_scotland_circenn	sw_fe_geals_3	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_scotland_circenn	sw_fe_circenn_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_scotland_circenn	sw_fe_circenn_2	faction_to_army_own	-35.0	start_turn_completed
vik_kingdom_scotland_circenn	sw_fe_circenn_3	faction_to_region_own_unseen	-25.0	start_turn_completed
