effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!front_end_gva				
vik_faction_trait_great_viking_army	sw_fe_gva_1	faction_to_region_own_unseen	35.0	start_turn_completed
vik_faction_trait_great_viking_army	sw_fe_gva_2	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_great_viking_army	sw_fe_gva_3	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_faction_trait_east_engle	sw_fe_east_engle_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_east_engle	sw_fe_east_engle_2	faction_to_faction_own_unseen	-5.0	start_turn_completed
vik_faction_trait_east_engle	sw_fe_east_engle_3	faction_to_faction_own_unseen	25.0	start_turn_completed
vik_faction_trait_northymbre	sw_fe_northymbria_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_northymbre	sw_fe_northymbria_2	faction_to_region_own_unseen	20.0	start_turn_completed
vik_faction_trait_northymbre	sw_fe_northymbria_3	faction_to_region_own_unseen	-50.0	start_turn_completed
vik_faction_trait_east_engle_campaign	sw_fe_gva_1	faction_to_region_own_unseen	35.0	start_turn_completed
vik_faction_trait_east_engle_campaign	sw_fe_gva_2	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_east_engle_campaign	sw_fe_gva_3	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_faction_trait_east_engle_campaign	sw_fe_east_engle_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_east_engle_campaign	sw_fe_east_engle_2	faction_to_faction_own_unseen	-5.0	start_turn_completed
vik_faction_trait_east_engle_campaign	sw_fe_east_engle_3	faction_to_faction_own_unseen	25.0	start_turn_completed
vik_kingdom_danelaw_east_engle	sw_fe_gva_1	faction_to_region_own_unseen	35.0	start_turn_completed
vik_kingdom_danelaw_east_engle	sw_fe_gva_2	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_danelaw_east_engle	sw_fe_gva_3	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_kingdom_danelaw_east_engle	sw_fe_east_engle_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_danelaw_east_engle	sw_fe_east_engle_2	faction_to_faction_own_unseen	-5.0	start_turn_completed
vik_kingdom_danelaw_east_engle	sw_fe_east_engle_3	faction_to_faction_own_unseen	25.0	start_turn_completed
vik_kingdom_north_sea_empire_east_engle	sw_fe_gva_1	faction_to_region_own_unseen	35.0	start_turn_completed
vik_kingdom_north_sea_empire_east_engle	sw_fe_gva_2	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_north_sea_empire_east_engle	sw_fe_gva_3	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_kingdom_north_sea_empire_east_engle	sw_fe_east_engle_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_north_sea_empire_east_engle	sw_fe_east_engle_2	faction_to_faction_own_unseen	-5.0	start_turn_completed
vik_kingdom_north_sea_empire_east_engle	sw_fe_east_engle_3	faction_to_faction_own_unseen	25.0	start_turn_completed
vik_faction_trait_northymbre_campaign	sw_fe_gva_1	faction_to_region_own_unseen	35.0	start_turn_completed
vik_faction_trait_northymbre_campaign	sw_fe_gva_2	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_northymbre_campaign	sw_fe_gva_3	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_faction_trait_northymbre_campaign	sw_fe_northymbria_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_northymbre_campaign	sw_fe_northymbria_2	faction_to_region_own_unseen	20.0	start_turn_completed
vik_faction_trait_northymbre_campaign	sw_fe_northymbria_3	faction_to_region_own_unseen	-50.0	start_turn_completed
vik_kingdom_danelaw_northymbre	sw_fe_gva_1	faction_to_region_own_unseen	35.0	start_turn_completed
vik_kingdom_danelaw_northymbre	sw_fe_gva_2	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_danelaw_northymbre	sw_fe_gva_3	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_kingdom_danelaw_northymbre	sw_fe_northymbria_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_danelaw_northymbre	sw_fe_northymbria_2	faction_to_region_own_unseen	20.0	start_turn_completed
vik_kingdom_danelaw_northymbre	sw_fe_northymbria_3	faction_to_region_own_unseen	-50.0	start_turn_completed
vik_kingdom_north_sea_empire_northymbre	sw_fe_gva_1	faction_to_region_own_unseen	35.0	start_turn_completed
vik_kingdom_north_sea_empire_northymbre	sw_fe_gva_2	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_north_sea_empire_northymbre	sw_fe_gva_3	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_kingdom_north_sea_empire_northymbre	sw_fe_northymbria_1	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_north_sea_empire_northymbre	sw_fe_northymbria_2	faction_to_region_own_unseen	20.0	start_turn_completed
vik_kingdom_north_sea_empire_northymbre	sw_fe_northymbria_3	faction_to_region_own_unseen	-50.0	start_turn_completed
