effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!heroism				
vik_heroism_0	shieldwall_heroism_noble_morale	faction_to_army_own	-1.0	start_turn_completed
vik_heroism_0	vik_unit_charge_bonus	faction_to_army_own	-10.0	start_turn_completed
vik_heroism_1	shieldwall_heroism_noble_morale	faction_to_army_own	1.0	start_turn_completed
vik_heroism_2	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_heroism_2	shieldwall_heroism_noble_morale	faction_to_army_own	2.0	start_turn_completed
vik_heroism_3	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_heroism_3	shieldwall_heroism_noble_morale	faction_to_army_own	3.0	start_turn_completed
vik_heroism_4	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_heroism_4	shieldwall_heroism_noble_morale	faction_to_army_own	3.0	start_turn_completed
vik_heroism_5	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	3.0	start_turn_completed
vik_heroism_5	shieldwall_heroism_noble_morale	faction_to_army_own	3.0	start_turn_completed
vik_heroism_4	vik_unit_charge_bonus	faction_to_army_own	10.0	start_turn_completed
vik_heroism_5	vik_unit_charge_bonus	faction_to_army_own	25.0	start_turn_completed
