effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!legitimacy				
vik_legitimacy_0	vik_loyalty_mod_faction_negative	faction_to_character_own	-3.0	start_turn_initiated
vik_legitimacy_0	vik_tax_mod_negative	faction_to_province_own_unseen	-30.0	start_turn_completed
vik_legitimacy_0	vik_vassal_income	faction_to_faction_own_unseen	-50.0	start_turn_completed
vik_legitimacy_1	vik_loyalty_mod_faction_negative	faction_to_character_own	-2.0	start_turn_initiated
vik_legitimacy_1	vik_tax_mod_negative	faction_to_province_own_unseen	-20.0	start_turn_completed
vik_legitimacy_1	vik_vassal_income	faction_to_faction_own_unseen	-30.0	start_turn_completed
vik_legitimacy_2	vik_loyalty_mod_faction_negative	faction_to_character_own	-1.0	start_turn_initiated
vik_legitimacy_2	vik_tax_mod_negative	faction_to_province_own_unseen	-10.0	start_turn_completed
vik_legitimacy_2	vik_vassal_income	faction_to_faction_own_unseen	-20.0	start_turn_completed
vik_legitimacy_3	vik_tax_mod	faction_to_province_own_unseen	10.0	start_turn_completed
vik_legitimacy_3	vik_vassal_income	faction_to_faction_own_unseen	30.0	start_turn_completed
vik_legitimacy_4	vik_legitimacy_confederate_dummy	faction_to_faction_own_unseen	0.0	start_turn_completed
vik_legitimacy_4	vik_tax_mod	faction_to_province_own_unseen	20.0	start_turn_completed
vik_legitimacy_4	vik_vassal_income	faction_to_faction_own_unseen	40.0	start_turn_completed
vik_legitimacy_5	vik_legitimacy_confederate_dummy	faction_to_faction_own_unseen	0.0	start_turn_completed
vik_legitimacy_5	vik_tax_mod	faction_to_province_own_unseen	30.0	start_turn_completed
vik_legitimacy_5	vik_vassal_income	faction_to_faction_own_unseen	50.0	start_turn_completed
