effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!tribute				
vik_tribute_0	vik_allegiance_usurper	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_tribute_0	shieldwall_vikingar_recruitment_cost	faction_to_army_own	30.0	start_turn_completed
vik_tribute_1	shieldwall_vikingar_recruitment_cost	faction_to_army_own	15.0	start_turn_completed
vik_tribute_1	vik_allegiance_usurper	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_tribute_2	shieldwall_vikingar_recruitment_cost	faction_to_army_own	-10.0	start_turn_completed
vik_tribute_3	vik_allegiance_faction	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_tribute_3	shieldwall_vikingar_recruitment_cost	faction_to_faction_own_unseen	-25.0	start_turn_completed
vik_tribute_3	shieldwall_vikingar_capacity	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_tribute_4	vik_allegiance_faction	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_tribute_4	shieldwall_vikingar_capacity	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_tribute_4	shieldwall_vikingar_recruitment_cost	faction_to_faction_own_unseen	-40.0	start_turn_completed
vik_tribute_5	vik_allegiance_faction	faction_to_faction_own_unseen	3.0	start_turn_completed
vik_tribute_5	shieldwall_vikingar_capacity	faction_to_faction_own_unseen	3.0	start_turn_completed
vik_tribute_5	shieldwall_vikingar_recruitment_cost	faction_to_army_own	-60.0	start_turn_completed
vik_tribute_5	shieldwall_unlocks_sea_king	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_tribute_max	vik_allegiance_faction	faction_to_faction_own_unseen	4.0	start_turn_completed
vik_tribute_max	shieldwall_vikingar_capacity	faction_to_faction_own_unseen	5.0	start_turn_completed
vik_tribute_max	shieldwall_vikingar_recruitment_cost	faction_to_army_own	-100.0	start_turn_completed
vik_tribute_max	shieldwall_unlocks_sea_king	faction_to_faction_own_unseen	1.0	start_turn_completed
