effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!front_end_saxons				
vik_faction_trait_west_seaxe_campaign	vik_faction_trait_dummy_west_seaxe_fortify	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_west_seaxe_campaign	vik_faction_trait_dummy_westsexa	faction_to_faction_own_unseen	-1.0	start_turn_completed
vik_faction_trait_west_seaxe_campaign	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_west_seaxe	vik_faction_trait_dummy_west_seaxe_fortify	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_west_seaxe	vik_faction_trait_dummy_westsexa	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_west_seaxe	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_west_seaxe	vik_faction_trait_dummy_westsexa	faction_to_faction_own_unseen	-1.0	start_turn_completed
vik_kingdom_anglo_saxon_west_seaxe	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_west_seaxe	vik_faction_trait_dummy_west_seaxe_fortify	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_west_seaxe	vik_tax_mod	faction_to_region_own_unseen	10.0	start_turn_completed
vik_kingdom_anglo_saxon_west_seaxe	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_england_west_seaxe	vik_faction_trait_dummy_westsexa	faction_to_faction_own_unseen	-1.0	start_turn_completed
vik_kingdom_england_west_seaxe	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_kingdom_england_west_seaxe	vik_faction_trait_dummy_west_seaxe_fortify	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_england_west_seaxe	vik_tax_mod	faction_to_region_own_unseen	25.0	start_turn_completed
vik_kingdom_england_west_seaxe	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_english	vik_faction_trait_dummy_burghal	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_english	sw_front_end_faster_peasant_levy	faction_to_faction_own_unseen	-2.0	start_turn_completed
vik_faction_trait_english	sw_front_end_no_harvest_season	faction_to_faction_own_unseen	-1.0	start_turn_completed
vik_faction_trait_northleode	sw_front_end_hunter_society	faction_to_region_own_unseen	25.0	start_turn_completed
vik_faction_trait_northleode	sw_front_end_holy_isle	faction_to_faction_own_unseen	20.0	start_turn_completed
vik_faction_trait_northleode	sw_front_end_bernician_horses	faction_to_faction_own_unseen	-2.0	start_turn_completed
vik_faction_trait_mierce	vik_faction_trait_dummy_miercna_hoards	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mierce	sw_front_end_light_rations	faction_to_faction_own_unseen	-1.0	start_turn_completed
vik_faction_trait_mierce	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mierce_campaign	vik_faction_trait_dummy_miercna_hoards	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_faction_trait_mierce_campaign	sw_front_end_light_rations	faction_to_faction_own_unseen	-1.0	start_turn_completed
vik_faction_trait_mierce_campaign	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_mierce	vik_faction_trait_dummy_miercna_hoards	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_mierce	sw_front_end_light_rations	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_mierce	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_mierce	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_anglo_saxon_mierce	vik_tax_mod	faction_to_region_own_unseen	10.0	start_turn_completed
vik_kingdom_england_mierce	vik_faction_leader_influence_mod	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_kingdom_england_mierce	vik_tax_mod	faction_to_region_own_unseen	25.0	start_turn_completed
vik_kingdom_england_mierce	vik_faction_trait_dummy_miercna_hoards	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_kingdom_england_mierce	sw_front_end_light_rations	faction_to_faction_own_unseen	-1.0	start_turn_completed
vik_kingdom_england_mierce	shieldwall_saxons_free_fyrd	faction_to_faction_own_unseen	1.0	start_turn_completed
