effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!here_king				
vik_here_king_army_1	vik_unit_morale	faction_to_army_own_unseen	1.0	start_turn_completed
vik_here_king_army_1	shieldwall_hird_levy_cap	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_here_king_army_2	vik_unit_morale	faction_to_army_own_unseen	2.0	start_turn_completed
vik_here_king_army_2	shieldwall_hird_levy_cap	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_here_king_army_3	vik_unit_morale	faction_to_army_own_unseen	4.0	start_turn_completed
vik_here_king_army_3	shieldwall_hird_levy_cap	faction_to_faction_own_unseen	4.0	start_turn_completed
vik_here_king_english_1	vik_diplomacy_english	faction_to_faction_own_unseen	20.0	start_turn_completed
vik_here_king_english_1	vik_trade_mod	faction_to_faction_own_unseen	10.0	start_turn_completed
vik_here_king_english_1	shieldwall_thegn_levy_cap	faction_to_faction_own_unseen	1.0	start_turn_completed
vik_here_king_english_2	vik_diplomacy_english	faction_to_faction_own_unseen	40.0	start_turn_completed
vik_here_king_english_2	vik_trade_mod	faction_to_faction_own_unseen	20.0	start_turn_completed
vik_here_king_english_2	shieldwall_thegn_levy_cap	faction_to_faction_own_unseen	2.0	start_turn_completed
vik_here_king_english_3	vik_diplomacy_english	faction_to_faction_own_unseen	60.0	start_turn_completed
vik_here_king_english_3	vik_trade_mod	faction_to_faction_own_unseen	30.0	start_turn_completed
vik_here_king_english_3	shieldwall_thegn_levy_cap	faction_to_faction_own_unseen	3.0	start_turn_completed
vik_here_king_army_1	vik_faction_trait_terror_of_north	faction_to_faction_own_unseen	30.0	start_turn_completed
vik_here_king_army_2	vik_faction_trait_terror_of_north	faction_to_faction_own_unseen	75.0	start_turn_completed
vik_here_king_army_3	vik_faction_trait_terror_of_north	faction_to_faction_own_unseen	150.0	start_turn_completed
