key	text	tooltip
#Loc PackedFile;1;text/db/sw_faction_mechanics_factor_strings.loc		
random_localisation_strings_string_factor_sold_at_markets_slaves	Sold at Markets	false
random_localisation_strings_string_factor_missions_heroism	Missions Completed	false
random_localisation_strings_string_factor_follower_events_heroism	Follower Events	false
random_localisation_strings_string_factor_dilemmas_heroism	Dilemma Choices	false
random_localisation_strings_string_factor_decrees_heroism	Bard Songs	false
random_localisation_strings_string_factor_heroic_victories_heroism	Heroic Victories	false
random_localisation_strings_string_factor_champion_follower_heroism	Champion Follower	false
random_localisation_strings_string_factor_defeats_heroism	Defeats	false
random_localisation_strings_string_factor_riots_heroism	Riots	false
random_localisation_strings_string_factor_political_actions_heroism	Political Scheming	false
random_localisation_strings_string_factor_bandits_heroism	Bandits	false
random_localisation_strings_string_factor_valiant_defeats_heroism	Valiant Defeats	false
