key	advice_thread	advice_thread_level	points_needed	game_area	category	sub_category	max_repeat_count	repeat_interval	pause_battle	priority_level	high_verbosity_only	locatable	parameter	on_display_script	on_click_script	suppressible	uninhibitable	audio_clip	advisor_name	for_loading_screen	movie_link
#advice_levels_tables;3;db/advice_levels_tables/landmarks_advice_levels																					
40000	Region.Intro.vik_reg_aberffro	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40001	Region.Intro.vik_reg_aberteifi	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40002	Region.Intro.vik_reg_achadh_bo	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40003	Region.Intro.vik_reg_aethelingaeg	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40004	Region.Intro.vik_reg_inber_nise	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40005	Region.Intro.vik_reg_ard_macha	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40006	Region.Intro.vik_reg_bebbanburg	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40007	Region.Intro.vik_reg_blascona	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40008	Region.Intro.vik_reg_bornais	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40009	Region.Intro.vik_reg_cair_gwent	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40010	Region.Intro.vik_reg_caisil	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40011	Region.Intro.vik_reg_cantwaraburg	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40012	Region.Intro.vik_reg_carleol	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40013	Region.Intro.vik_reg_cathair_commain	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40014	Region.Intro.vik_reg_ceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40015	Region.Intro.vik_reg_cetretha	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40016	Region.Intro.vik_reg_cippanhamm	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40017	Region.Intro.vik_reg_cluain_mac_nois	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40018	Region.Intro.vik_reg_colneceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40019	Region.Intro.vik_reg_corcach	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40020	Region.Intro.vik_reg_din_prys	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40021	Region.Intro.vik_reg_dinefwr	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40022	Region.Intro.vik_reg_dofere	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40023	Region.Intro.vik_reg_doreceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40024	Region.Intro.vik_reg_drayton	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40025	Region.Intro.vik_reg_druim_da_ethiar	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40026	Region.Intro.vik_reg_dun_att	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40027	Region.Intro.vik_reg_dun_beccan	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40028	Region.Intro.vik_reg_dun_cailden	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40029	Region.Intro.vik_reg_dun_foither	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40030	Region.Intro.vik_reg_dun_patraic	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40031	Region.Intro.vik_reg_dun_sebuirgi	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40032	Region.Intro.vik_reg_dyflin	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40033	Region.Intro.vik_reg_earmutha	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40034	Region.Intro.vik_reg_eidenburg	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40035	Region.Intro.vik_reg_eoferwic	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40036	Region.Intro.vik_reg_exanceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40037	Region.Intro.vik_reg_gipeswic	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40038	Region.Intro.vik_reg_gleawceaster	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40039	Region.Intro.vik_reg_grantabrycg	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
40040	Region.Intro.vik_reg_grianan_aileach	1	1	Scripted	Scripted	Scripted	0	0	false	1	false	false	none			false	false	n	flyby_advisor	false	
