id	incident_key	option_key	value
#cdir_events_incident_option_junctions_tables;2;db/cdir_events_incident_option_junctions_tables/landmark_incidents			
900901	vik_wonder_discovered_athelingaeg	VAR_CHANCE	100
900902	vik_wonder_discovered_athelingaeg	GEN_TARGET_NONE	
900903	vik_wonder_discovered_wiht	VAR_CHANCE	100
900904	vik_wonder_discovered_wiht	GEN_TARGET_NONE	
900905	vik_wonder_discovered_cissanbyrig	VAR_CHANCE	100
900906	vik_wonder_discovered_cissanbyrig	GEN_TARGET_NONE	
900907	vik_wonder_discovered_wiltun	VAR_CHANCE	100
900908	vik_wonder_discovered_wiltun	GEN_TARGET_NONE	
900909	vik_wonder_discovered_hagustaldes	VAR_CHANCE	100
900910	vik_wonder_discovered_hagustaldes	GEN_TARGET_NONE	
900911	vik_wonder_discovered_oxnaford	VAR_CHANCE	100
900912	vik_wonder_discovered_oxnaford	GEN_TARGET_NONE	
900913	vik_wonder_discovered_linns	VAR_CHANCE	100
900914	vik_wonder_discovered_linns	GEN_TARGET_NONE	
900915	vik_wonder_discovered_cnodba	VAR_CHANCE	100
900916	vik_wonder_discovered_cnodba	GEN_TARGET_NONE	
900917	vik_wonder_discovered_rudglann	VAR_CHANCE	100
900918	vik_wonder_discovered_rudglann	GEN_TARGET_NONE	
900919	vik_wonder_discovered_inber_nise	VAR_CHANCE	100
900920	vik_wonder_discovered_inber_nise	GEN_TARGET_NONE	
900921	vik_wonder_discovered_bebbanburg	VAR_CHANCE	100
900922	vik_wonder_discovered_bebbanburg	GEN_TARGET_NONE	
900923	vik_wonder_discovered_dun_sebuirgi	VAR_CHANCE	100
900924	vik_wonder_discovered_dun_sebuirgi	GEN_TARGET_NONE	
900925	vik_wonder_discovered_blascona	VAR_CHANCE	100
900926	vik_wonder_discovered_blascona	GEN_TARGET_NONE	
900927	vik_wonder_discovered_snotingaham	VAR_CHANCE	100
900928	vik_wonder_discovered_snotingaham	GEN_TARGET_NONE	
900929	vik_wonder_discovered_bodmine	VAR_CHANCE	100
900930	vik_wonder_discovered_bodmine	GEN_TARGET_NONE	
900931	vik_wonder_discovered_sancte_ye	VAR_CHANCE	100
900932	vik_wonder_discovered_sancte_ye	GEN_TARGET_NONE	
900933	vik_wonder_discovered_ros_ailithir	VAR_CHANCE	100
900934	vik_wonder_discovered_ros_ailithir	GEN_TARGET_NONE	
900935	vik_wonder_discovered_hripum	VAR_CHANCE	100
900936	vik_wonder_discovered_hripum	GEN_TARGET_NONE	
900937	vik_wonder_discovered_aporcrosan	VAR_CHANCE	100
900938	vik_wonder_discovered_aporcrosan	GEN_TARGET_NONE	
900939	vik_wonder_discovered_cathair_commain	VAR_CHANCE	100
900940	vik_wonder_discovered_cathair_commain	GEN_TARGET_NONE	
900941	vik_wonder_discovered_brideport	VAR_CHANCE	100
900942	vik_wonder_discovered_brideport	GEN_TARGET_NONE	
900943	vik_wonder_discovered_tintagol	VAR_CHANCE	100
900944	vik_wonder_discovered_tintagol	GEN_TARGET_NONE	
900945	vik_wonder_discovered_laewe	VAR_CHANCE	100
900946	vik_wonder_discovered_laewe	GEN_TARGET_NONE	
900947	vik_wonder_discovered_dofere	VAR_CHANCE	100
900948	vik_wonder_discovered_dofere	GEN_TARGET_NONE	
900949	vik_wonder_discovered_werham	VAR_CHANCE	100
900950	vik_wonder_discovered_werham	GEN_TARGET_NONE	
900951	vik_wonder_discovered_alt_clut	VAR_CHANCE	100
900952	vik_wonder_discovered_alt_clut	GEN_TARGET_NONE	
900953	vik_wonder_discovered_sancte_ye1	VAR_CHANCE	100
900954	vik_wonder_discovered_sancte_ye1	GEN_TARGET_NONE	
