key	generate	ui_icon	ui_image	prioritised	event_category
#incidents_tables;4;db/incidents_tables/landmarks_incidents					
vik_wonder_discovered_athelingaeg	false	message_generic_news.png	cadbury_castle_event	true	Ybor
vik_wonder_discovered_wiht	false	message_generic_news.png	needles_event	true	Ybor
vik_wonder_discovered_cissanbyrig	false	message_generic_news.png	uffington_horse_event	true	Ybor
vik_wonder_discovered_wiltun	false	message_generic_news.png	stonehenge_event	true	Ybor
vik_wonder_discovered_hagustaldes	false	message_generic_news.png	hadrians_wall_event	true	Ybor
vik_wonder_discovered_oxnaford	false	message_generic_news.png	rollright_stones_event	true	Ybor
vik_wonder_discovered_linns	false	message_generic_news.png	newgrange_event	true	Ybor
vik_wonder_discovered_cnodba	false	message_generic_news.png	hill_tara_event	true	Ybor
vik_wonder_discovered_rudglann	false	message_generic_news.png	pillar_eliseg_event	true	Ybor
vik_wonder_discovered_inber_nise	false	message_generic_news.png	loch_ness_event	true	Ybor
vik_wonder_discovered_bebbanburg	false	message_generic_news.png	lindisfarne_event	true	Ybor
vik_wonder_discovered_dun_sebuirgi	false	message_generic_news.png	giants_causeway_event	true	Ybor
vik_wonder_discovered_blascona	false	message_generic_news.png	ring_brodgar_event	true	Ybor
vik_wonder_discovered_snotingaham	false	message_generic_news.png	sherwood_forest_event	true	Ybor
vik_wonder_discovered_bodmine	false	message_generic_news.png	trethevy_quoit_event	true	Ybor
vik_wonder_discovered_sancte_ye	false	message_generic_news.png	merry_maidens_event	true	Ybor
vik_wonder_discovered_ros_ailithir	false	message_generic_news.png	drombeg_event	true	Ybor
vik_wonder_discovered_hripum	false	message_generic_news.png	brimham_event	true	Ybor
vik_wonder_discovered_aporcrosan	false	message_generic_news.png	old_stoer_event	true	Ybor
vik_wonder_discovered_cathair_commain	false	message_generic_news.png	poulnabrone_event	true	Ybor
vik_wonder_discovered_brideport	false	message_generic_news.png	maiden_event	true	Ybor
vik_wonder_discovered_tintagol	false	message_generic_news.png	hurlers_event	true	Ybor
vik_wonder_discovered_laewe	false	message_generic_news.png	cissbury_event	true	Ybor
vik_wonder_discovered_dofere	false	message_generic_news.png	dover_event	true	Ybor
vik_wonder_discovered_werham	false	message_generic_news.png	durdle_event	true	Ybor
vik_wonder_discovered_alt_clut	false	message_generic_news.png	dumbarton_event	true	Ybor
vik_wonder_discovered_sancte_ye1	false	message_generic_news.png	menantol_event	true	Ybor
