key	text	tooltip
#Loc PackedFile;1;text/db/landmarks_advice_levels.loc		
advice_levels_onscreen_text_40000	Aberffro was the capital of the Kingdom of Gwined from 860 AD until 1170 AD. Under the eponymous dynasty under Rhodri Mawr, it came to be the most important political centre in medieval Wales. The Royal estates of the Princes of Aberffro were governed from the Llys, or the Royal court, and as Aberffro was the central one, thus the palace grew. It was from here that the officials of the prince's court sallied forth to gather taxes and rent from the surrounding commotes. In the 9th century, Rhodri the Great had inherited Gwined from his father and Powys from his mother, and he added Seisilwig by a dynastic marriage to Angharad of Seisyllwg. Rhodri's influence in the rest of Wales was significant, and he left a lasting legacy.	true
advice_levels_onscreen_text_40001	Aberteifi was selected at a very early period as an eligible site for commerce given its naval accessibility with distant parts of the kingdom. The Welsh name Aberteifi (later known as "Ceredig's land") refers to its position by the mouth (aber) of the River Teifi. Ceredig was supposedly one of the sons of Cunedda Wledig, who Welsh legend records invaded from the north to recover lands in Roman Britain from invading Irishmen around early 400 AD.	true
advice_levels_onscreen_text_40002	Achadh Bo contains a large number of Early Christian farmsteads, known as ringforts. Achadh Bo Abbey was founded in the sixth century by St. Canice. The abbey grew into a major centre of learning, commerce and agriculture. It was plundered by the Vikings in 913 AD and rebuilt in 1052 with relics of St Canice enshrined. It was again burned in 1116 AD and rebuilt in 1189.	true
advice_levels_onscreen_text_40003	This area is known as the Isle of Aethelingaeg because it was once a very low isolated island in the very great swampy and impassable marshes of the Somersaete Levels. It was here that Alfred came in 877AD to escape from the Danes who threatened to overrun his kingdom. Alfred stayed at Aethelingaeg from the autumn of 877 until the spring of 878 when he had a fortress built. Here Alfred reorganized his forces and prepared to launch an offensive that culminated in his pivotal victory at the Battle of Edington. About a decade later, Alfred founded a monastery which was dedicated to St Athelwine and was meant to commemorate his victory and give thanks to God.	true
advice_levels_onscreen_text_40004	Inber Nise was one of the chief strongholds of the Picts, and in 565 AD was visited by St Columba with the intention of converting the Pictish king Brude, who is supposed to have resided in the vitrified fort on Craig Phadrig, on the western edge of the city. The strategic location of Inber Nise has led to many conflicts in the area. Reputedly there was a battle in the early 11th century between King Malcolm and Thorfinn of Norway at Blar Nam Feinne, to the southwest of the city.	true
advice_levels_onscreen_text_40005	Ard Macha means "Macha's height" and began as a Ulaid pagan ritual site to the goddess Macha. Macha is associated with the land, fertility, kingship, war and horses. After Christianity spread to Ériu, the pagan sanctuary was converted into a Christian one, and Ard Macha became the site of an important church and monastery. According to tradition, Saint Patrick founded his main church there in the year 457 AD, and it eventually became the "ecclesiastical capital" of Ériu. In 839 and 869, the monastery in Ard Macha was raided by Vikings who were seeking silver, as such could often be found in churches and monasteries.	true
advice_levels_onscreen_text_40006	The village of Bebbanburg was the seat of the Northanhymbra Kingdom for several hundred years. It is dominated by its great sandstone castle which stands on a massive outcrop overlooking a beautiful beach and the Farne Islands out at sea. One of the most powerful Northybmren kings associated with Bebbanburg was King Oswald (634-642 AD), who converted to Christianity and appointed St Aidan as the first bishop of nearby Lindisfarne, making this north eastern corner of Northanhymbra an important focal point for early Christian cultural developments. Dominance of Anglo-Saxon power in the area came to an end when the Vikings conquered Jórvík in 866. The castle atop the hill was completely destroyed by the Vikings in 993 AD.	true
advice_levels_onscreen_text_40007	It is believed that Vikings came to Blascona late in the 8th century. It is not known whether Vikings came as landtakers, dispossessing indigenous Pict peoples, or whether Viking farmers settled peacefully among the natives of Blascona or some of both. In any case, it appears that the Norse immigrants soon assumed dominance over any communities there. In time, Blascona came to be ruled by jarls established by royal authority from Norway. The raiders used Blascona as a base of operations from which to carry out aggressive raids against the coasts of Scotland as well as their own Norwegian kin.  Harold Hårfagre ("Fair Hair") subdued the rovers in 875 and annexed both Blascona to Norway.	true
advice_levels_onscreen_text_40008	In the 9th century, Vikings invaded Bòrnais and the gaelic kingdom of Dál Riata to the south, and established the Kingdom of the Isles throughout these lands. Following Norwegian unification, the Kingdom of the Isles became a crown dependency of the Norwegian king; to the Norwegians it was Suðreyjar (meaning southern isles). At Kilpheder, the roundhouses were abandoned in favour of Norse longhouses; at Bornish, a few miles to the north, a more substantial Norse settlement was built. The strategic position gave the local residents access to a wide trading network, stretching throughout the Norwegian empire, as well as adjacent lands like Ériu.	true
advice_levels_onscreen_text_40009	Cair Gwent was at the center of the Gwent Welsh kingdom between the Rivers Wye and Usk. It was founded by the Romans in 75 AD as Venta Silurum, a market town for the defeated Silures tribe. Some historians hypothesize that Cair Gwent is the Welsh name for Camelot. Thomas Malory wrote that twelve of Arthur's defeated enemies were buried in St. Stephen's church in Camelot, also recording that Arthur and Guinevere were married in this same church. While other historians argue Malory could have confused Caerwent with Caerwynt (the Welsh name for Winchester), it's notable that there exists a known St. Stephen's church in Cair Gwent but not in Winchester.	true
advice_levels_onscreen_text_40010	The Rock of Caisil is one of the most breathtaking castles in all of Ériu. It sits upon an isolated elevation of stratified limestone that rises abruptly from a broad and fertile plain called the Golden Vale. Originally known as Fairy Hill, the Rock was the dun, or fort, of the ancient Chiefs of Munster. In the 5th century, the Eóganachta dynasty founded their capital on and around the rock. Many kings of Munster have reigned here since. Saint Patrick is believed to have baptised Cashel's third king, Aengus. In 977 AD the Dál gCais usurper, Brian Boru, was crowned here as the first non-Eóghanacht king of Cashel and Munster in over five hundred years.	true
advice_levels_onscreen_text_40011	Cantwaraburg decayed after the Romans left Britain in 410 and was  abandoned until later when an Anglo-Saxon community formed within the city walls. Pope Gregory sent Augustine in 597 to convert its King Æthelberht, thereafter selecting the town as the center for his Episcopal See. The town's new importance led to its revival -- a mint was established, and trades developed in pottery, textiles, and leather. In the 9th century, the town suffered great loss of life during Danish raids. In 978, Archbishop Dunstan refounded the abbey built by Augustine, and named it St Augustine's Abbey. A second wave of Danish attacks began in 991, and in 1011 the cathedral was burnt and the bishop was killed.	true
advice_levels_onscreen_text_40012	Carleol began as a Roman town called Luguvalium but fell  into decay in 407 AD when the Roman rule ended. St Cuthbert founded a monastery in the ruins of Carleol in 685. From that time on, Carleol was an important stronghold contested by several entities who warred over the area, including Strat Clut and Northymbre. In 876 the Vikings captured Carleol and sacked it. The monks moved away but some people probably continued to live within the walls of the old Roman town. By the time of the Norman conquest in 1066, Carleol was part of Scotland. Carleol was rebuilt and revived by the Norman King William Rufus in 1092. He built a wooden castle there and encouraged people to come and settle.	true
