key	text	tooltip
#Loc PackedFile;1;text/db/landmarks_incidents.loc		
incidents_localised_title_vik_wonder_discovered_athelingaeg	Cadbury Castle, Athelingaeg	true
incidents_localised_description_vik_wonder_discovered_athelingaeg	Cadbury Castle is a Bronze and Iron Age hillfort in the English county of Somersaete. The earliest settlement on the site is represented by pits and post holes dated with Neolithic pottery and flints. These are the remains of a small agricultural settlement which was unenclosed. A stone enclosure was constructed around 300 BC with timber revetting, and ploughing ceased within the hilltop site. Large ramparts and elaborate timber defences were constructed and refortified over the following centuries. Though it fell into ruin after Rome withdrew from the region, there was significant activity between 1010 and 1020AD, in which the hill was reoccupied for use as a temporary Saxon mint, standing in for that at Ilchester.	true
incidents_localised_title_vik_wonder_discovered_wiht	The Needles, Wiht	true
incidents_localised_description_vik_wonder_discovered_wiht	The Needles is a row of three distinctive stacks of chalk that rise about 30m out of the sea off the western extremity of the Isle of Wight. The Needles' pointed shape is a result of their unusual geology. The strata have been so heavily folded during the Alpine Orogeny that the chalk is near vertical. Just off the end of the Needles formation is the Shingles, a shifting shoal of pebbles just beneath the waves. The Shingles is approximately three miles in length. Many ships have been wrecked on the Shingles.	true
incidents_localised_title_vik_wonder_discovered_cissanbyrig	The Uffington White Horse, Cissanbyrig	true
incidents_localised_description_vik_wonder_discovered_cissanbyrig	The White Horse, which measures 111 metres from the tip of its tail to its ear, has been dated to the later Bronze Age or Iron Age, between 1740 and 210BC. It may have been a territorial marker or a fertility symbol – the horse is thought to represent a tribe, perhaps connected with the builders of Uffington Castle. The shape of the horse has changed over the centuries. The loss of shape has been caused by slippage of the top soil and by repeated recutting. The head currently has a prominent ‘eye’, and tusk-like ‘beak’ at its mouth.	true
incidents_localised_title_vik_wonder_discovered_wiltun	Stonehenge, Wiltun	true
incidents_localised_description_vik_wonder_discovered_wiltun	Stonehenge served as place of burial and ritual for early Celtic folk from its beginning to its zenith in the mid third millennium B.C. The importance of the Stonehenge is underscored by the immense effort involved in moving them a long distance—some were as long as ten feet and weighed four tons and were cut from the Preseli Mountains in southwest Wales, 225 metres from Stonehenge. The most likely route would have required traversing some 400km —with the stones floated on rafts, then pulled overland by teams of men and oxen or rolled on logs—along the south coast of Wales, crossing the Avon River near Bristol and then heading southeast to the Salisbury Plain. 	true
incidents_localised_title_vik_wonder_discovered_hagustaldes	Hadrian's Wall, Hagustaldes	true
