id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/armed_citizenry_units_to_unit_groups_junctions			
1	100	eng_thegn_spearmen_garrison	eng_great_hall_1
2	100	eng_ceorl_spearmen_garrison	eng_great_hall_1
3	100	eng_ceorl_spearmen_garrison	eng_great_hall_1
4	100	eng_ceorl_spearmen_garrison	eng_great_hall_1
5	100	eng_ceorl_javelinmen_garrison	eng_great_hall_1
6	100	eng_ceorl_javelinmen_garrison	eng_great_hall_1
7	100	eng_seax_warriors_garrison	eng_great_hall_2
8	100	eng_ceorl_axemen_garrison	eng_great_hall_2
9	100	eng_ceorl_archers_garrison	eng_great_hall_3
10	100	eng_ceorl_spearmen_garrison	eng_great_hall_3
11	100	eng_fyrd_spearmen_garrison	eng_great_hall_4
12	100	eng_fyrd_javelinmen_garrison	eng_great_hall_4
13	100	eng_thegns_garrison	eng_great_hall_5
14	100	eng_fyrd_axemen_garrison	eng_great_hall_5
15	100	eng_earls_thegns_garrison	eng_hero
16	100	eng_earls_spearmen_garrison	eng_hero
17	100	eng_fyrd_spearmen_garrison	eng_garr_1
18	100	eng_ceorl_axemen_garrison	eng_garr_1
19	100	eng_ceorl_javelinmen_garrison	eng_garr_1
20	100	eng_ceorl_spearmen_garrison	eng_garr_2
21	100	eng_fyrd_archers_garrison	eng_garr_2
22	100	dan_sword_hirdmen_garrison	gva_great_hall_1
23	100	dan_ceorl_spearmen_garrison	gva_great_hall_1
24	100	dan_ceorl_spearmen_garrison	gva_great_hall_1
25	100	dan_ceorl_spearmen_garrison	gva_great_hall_1
26	100	dan_ceorl_axemen_garrison	gva_great_hall_1
27	100	dan_ceorl_archers_garrison	gva_great_hall_1
28	100	dan_ceorl_axemen_garrison	gva_great_hall_2
29	100	est_norse_hersir_garrison	gva_great_hall_2
30	100	dan_ceorl_spearmen_garrison	gva_great_hall_3
31	100	dan_archers_garrison	gva_great_hall_3
32	100	dan_spearmen_garrison	gva_great_hall_4
33	100	dan_javelinmen_garrison	gva_great_hall_4
34	100	dan_huscarls_garrison	gva_great_hall_5
35	100	dan_axemen_garrison	gva_great_hall_5
36	100	dan_spearmen_garrison	gva_garr_1
37	100	dan_ceorl_archers_garrison	gva_garr_1
38	100	dan_ceorl_spearmen_garrison	gva_garr_1
39	100	dan_axemen_garrison	gva_garr_2
40	100	dan_javelinmen_garrison	gva_garr_2
41	100	dan_ceorl_spearmen_garrison	gva_market_1
42	100	dan_ceorl_spearmen_garrison	gva_market_1
43	100	dan_ceorl_axemen_garrison	gva_market_1
44	100	dan_ceorl_axemen_garrison	gva_market_1
45	100	dan_anglian_raiders_garrison	gva_market_1
46	100	dan_ceorl_archers_garrison	gva_market_1
47	100	dan_ceorl_archers_garrison	gva_market_2
48	100	dan_northumbrian_thegns_garrison	gva_market_2
49	100	dan_sword_hersir_garrison	gva_market_2
50	100	dan_spearmen_garrison	gva_market_3
51	100	dan_axemen_garrison	gva_market_3
52	100	dan_spearmen_garrison	gva_market_4
53	100	dan_axemen_garrison	gva_market_4
54	100	dan_huscarls_garrison	gva_market_5
55	100	dan_anglian_raiders_garrison	gva_market_5
56	100	est_marauders_garrison	vsk_great_hall_1
57	100	est_marauders_garrison	vsk_great_hall_1
58	100	est_marauders_garrison	vsk_great_hall_1
59	100	est_mailed_axemen_garrison	vsk_great_hall_1
60	100	est_hunters_garrison	vsk_great_hall_1
61	100	est_spearband_garrison	vsk_great_hall_1
62	100	est_norse_warriors_garrison	vsk_great_hall_2
63	100	est_spear_hirdmen_garrison	vsk_great_hall_2
64	100	est_axe_warriors_garrison	vsk_great_hall_2
65	100	est_long_axes_garrison	vsk_great_hall_3
66	100	est_archers_garrison	vsk_great_hall_3
67	100	est_spearband_garrison	vsk_great_hall_4
68	100	est_axemen_garrison	vsk_great_hall_4
69	100	est_hirdmen_garrison	vsk_great_hall_5
70	100	est_axemen_garrison	vsk_great_hall_5
71	100	est_marauders_garrison	vsk_garr_1
72	100	est_spearband_garrison	vsk_garr_1
73	100	est_levy_javelinmen_garrison	vsk_garr_1
74	100	est_kerns_garrison	vsk_garr_1
75	100	est_axemen_garrison	vsk_garr_2
76	100	est_hunters_garrison	vsk_garr_2
77	100	iri_freemen_spearmen_garrison	iri_great_hall_1
78	100	iri_freemen_spearmen_garrison	iri_great_hall_1
79	100	iri_freemen_spearmen_garrison	iri_great_hall_1
80	100	iri_freemen_axemen_garrison	iri_great_hall_1
81	100	iri_serf_archers_garrison	iri_great_hall_1
82	100	iri_spear_raiders_garrison	iri_great_hall_1
83	100	iri_fianna_band_garrison	iri_great_hall_2
84	100	iri_serf_archers_garrison	iri_great_hall_2
85	100	iri_kern_axemen_garrison	iri_great_hall_3
86	100	iri_kerns_garrison	iri_great_hall_3
87	100	iri_foreign_warriors_garrison	iri_great_hall_4
88	100	iri_kern_spearmen_garrison	iri_great_hall_4
89	100	iri_airig_warband_garrison	iri_great_hall_5
90	100	iri_kern_axemen_garrison	iri_great_hall_5
91	100	iri_airig_warband_garrison	iri_hero
92	100	iri_mailed_fianna_garrison	iri_hero
93	100	iri_kern_axemen_garrison	iri_garr_1
94	100	iri_freemen_spearmen_garrison	iri_garr_1
95	100	iri_kerns_garrison	iri_garr_1
96	100	iri_serf_archers_garrison	iri_garr_2
97	100	iri_fianna_band_garrison	iri_garr_2
98	100	sco_alban_levy_spearmen_garrison	sco_great_hall_1
99	100	sco_alban_levy_spearmen_garrison	sco_great_hall_1
100	100	sco_alban_levy_spearmen_garrison	sco_great_hall_1
101	100	eng_marcher_armoured_spearmen_garrison	sco_great_hall_1
102	100	sco_cateran_levy_garrison	sco_great_hall_1
103	100	sco_alban_levy_javelinmen_garrison	sco_great_hall_1
104	100	sco_sword_band_garrison	sco_great_hall_2
105	100	sco_alban_levy_javelinmen_garrison	sco_great_hall_2
106	100	sco_alban_crossbowmen_garrison	sco_great_hall_3
107	100	sco_cateran_levy_garrison	sco_great_hall_3
108	100	sco_alban_spearmen_garrison	sco_great_hall_4
109	100	sco_cateran_axemen_garrison	sco_great_hall_4
110	100	sco_sword_warriors_garrison	sco_great_hall_5
111	100	sco_schiltron_garrison	sco_great_hall_5
112	100	sco_schiltron_garrison	sco_hero
113	100	sco_alban_warriors_garrison	sco_hero
114	100	sco_alban_spearmen_garrison	sco_garr_1
115	100	sco_cateran_levy_garrison	sco_garr_1
116	100	sco_alban_levy_javelinmen_garrison	sco_garr_1
117	100	sco_alban_levy_spearmen_garrison	sco_garr_2
118	100	sco_highland_archers_garrison	sco_garr_2
119	100	nor_levy_spearmen_garrison	nor_great_hall_1
120	100	nor_levy_spearmen_garrison	nor_great_hall_1
121	100	nor_levy_spearmen_garrison	nor_great_hall_1
122	100	nor_mailed_spearmen_garrison	nor_great_hall_1
123	100	nor_levy_archers_garrison	nor_great_hall_1
124	100	nor_levy_archers_garrison	nor_great_hall_1
125	100	nor_axe_levy_garrison	nor_great_hall_2
126	100	nor_swordsmen_garrison	nor_great_hall_2
127	100	nor_spearmen_garrison	nor_great_hall_3
128	100	nor_archers_garrison	nor_great_hall_3
129	100	nor_spearmen_garrison	nor_great_hall_4
130	100	nor_foot_soldiers_garrison	nor_great_hall_4
131	100	nor_knights_garrison	nor_great_hall_5
