id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/building_level_armed_citizenry_junctions		
1	vik_achad_bo_1	eng_great_hall_1
2	vik_achad_bo_2	eng_great_hall_1
3	vik_achad_bo_2	eng_great_hall_2
4	vik_achad_bo_3	eng_great_hall_1
5	vik_achad_bo_3	eng_great_hall_2
6	vik_achad_bo_3	eng_great_hall_3
7	vik_achad_bo_4	eng_great_hall_1
8	vik_achad_bo_4	eng_great_hall_2
9	vik_achad_bo_4	eng_great_hall_3
10	vik_achad_bo_4	eng_great_hall_4
11	vik_achad_bo_5	eng_great_hall_1
12	vik_achad_bo_5	eng_great_hall_2
13	vik_achad_bo_5	eng_great_hall_3
14	vik_achad_bo_5	eng_great_hall_4
15	vik_achad_bo_5	eng_great_hall_5
16	vik_garrison_1	eng_garr_1
17	vik_garrison_2	eng_garr_1
18	vik_garrison_2	eng_garr_2
19	vik_great_hall_1	eng_great_hall_1
20	vik_great_hall_2	eng_great_hall_1
21	vik_great_hall_2	eng_great_hall_2
22	vik_great_hall_3	eng_great_hall_1
23	vik_great_hall_3	eng_great_hall_2
24	vik_great_hall_3	eng_great_hall_3
25	vik_great_hall_4	eng_great_hall_1
26	vik_great_hall_4	eng_great_hall_2
27	vik_great_hall_4	eng_great_hall_3
28	vik_great_hall_4	eng_great_hall_4
29	vik_great_hall_5	eng_great_hall_1
30	vik_great_hall_5	eng_great_hall_2
31	vik_great_hall_5	eng_great_hall_3
32	vik_great_hall_5	eng_great_hall_4
33	vik_great_hall_5	eng_great_hall_5
34	vik_grianan_ailech_1	eng_great_hall_1
35	vik_grianan_ailech_2	eng_great_hall_1
36	vik_grianan_ailech_2	eng_great_hall_2
37	vik_grianan_ailech_3	eng_great_hall_1
38	vik_grianan_ailech_3	eng_great_hall_2
39	vik_grianan_ailech_3	eng_great_hall_3
40	vik_grianan_ailech_4	eng_great_hall_1
41	vik_grianan_ailech_4	eng_great_hall_2
42	vik_grianan_ailech_4	eng_great_hall_3
43	vik_grianan_ailech_4	eng_great_hall_4
44	vik_grianan_ailech_5	eng_great_hall_1
45	vik_grianan_ailech_5	eng_great_hall_2
46	vik_grianan_ailech_5	eng_great_hall_3
47	vik_grianan_ailech_5	eng_great_hall_4
48	vik_grianan_ailech_5	eng_great_hall_5
49	vik_longphort_1	eng_great_hall_1
50	vik_longphort_2	eng_great_hall_1
51	vik_longphort_2	eng_great_hall_2
52	vik_longphort_3	eng_great_hall_1
53	vik_longphort_3	eng_great_hall_2
54	vik_longphort_3	eng_great_hall_3
55	vik_longphort_4	eng_great_hall_1
56	vik_longphort_4	eng_great_hall_2
57	vik_longphort_4	eng_great_hall_3
58	vik_longphort_4	eng_great_hall_4
59	vik_longphort_5	eng_great_hall_1
60	vik_longphort_5	eng_great_hall_2
61	vik_longphort_5	eng_great_hall_3
62	vik_longphort_5	eng_great_hall_4
63	vik_longphort_5	eng_great_hall_5
64	vik_market_1	eng_great_hall_1
65	vik_market_2	eng_great_hall_1
66	vik_market_2	eng_great_hall_2
67	vik_market_3	eng_great_hall_1
68	vik_market_3	eng_great_hall_2
69	vik_market_3	eng_great_hall_3
70	vik_market_4	eng_great_hall_1
71	vik_market_4	eng_great_hall_2
72	vik_market_4	eng_great_hall_3
73	vik_market_4	eng_great_hall_4
74	vik_market_5	eng_great_hall_1
75	vik_market_5	eng_great_hall_2
76	vik_market_5	eng_great_hall_3
77	vik_market_5	eng_great_hall_4
78	vik_market_5	eng_great_hall_5
79	vik_monastery_1	eng_great_hall_1
80	vik_monastery_2	eng_great_hall_1
