unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitment_movie	religion_requirement	upkeep_cost	weight	campaign_total_cap	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	voiceover	ui_unit_group_land	ui_unit_group_naval	tier
#main_units_tables;17;db/main_units_tables/garrison_units																															
dan_anglian_champions_garrison		0	medium	1	false	dan_anglian_champions	160	0	10000	vik_byrdingr	1	20	200	0	10000			5000	medium	-1		false	false	0	24255	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_anglian_marauders_garrison		0	medium	1	false	dan_anglian_marauders	80	1	240	vik_byrdingr	1	20	200	0	240			120	super_heavy	1		false	false	0	24314	true		vo_subculture_viking_nordic	shieldwall_mercenary	att_special_transportship_naval	1
dan_anglian_raiders_garrison		0	medium	1	false	dan_anglian_raiders	120	0	175	vik_byrdingr	1	20	200	0	175			90	medium	-1		false	false	0	24367	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_archers_garrison		0	light	1	false	dan_archers	60	0	80	vik_byrdingr_mis	1	20	200	0	80			25	light	-1		false	false	0	24196	true		vo_subculture_viking_nordic	att_inf_bow_land	att_special_transportship_naval	2
dan_armoured_archers_garrison		0	medium	1	false	dan_armoured_archers	80	0	10000	vik_byrdingr_mis	1	20	200	0	10000			5000	medium	-1		false	false	0	24205	true		vo_subculture_viking_nordic	att_inf_bow_land	att_special_transportship_naval	1
dan_axemen_garrison		0	light	1	false	dan_axemen	160	0	185	vik_byrdingr	1	20	200	0	185			100	light	-1		false	false	0	24208	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
dan_berserkers_garrison		0	heavy	1	false	dan_berserkers	24	1	355	vik_byrdingr	1	20	200	0	355			180	very_heavy	-1		false	false	0	24218	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	3
dan_catapult_garrison		0	light	1	false	dan_catapult	40	0	200	vik_byrdingr	1	20	200	0	200			100	light	-1		false	false	0	24222	true		vo_subculture_viking_english	att_art_field_land	att_special_transportship_naval	1
dan_ceorl_archers_garrison		0	light	1	false	dan_ceorl_archers	60	0	120	vik_byrdingr_mis	1	20	200	0	120			60	light	-1		false	false	0	24224	true		vo_subculture_viking_nordic	att_inf_bow_land	att_special_transportship_naval	1
dan_ceorl_axemen_garrison		0	light	1	false	dan_ceorl_axemen	160	0	110	vik_byrdingr	1	20	200	0	110			60	light	-1		false	false	0	24234	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	1
dan_ceorl_javelinmen_garrison		0	light	1	false	dan_ceorl_javelinmen	60	0	70	vik_byrdingr_mis	1	20	200	0	70			40	very_light	-1		false	false	0	24244	true		vo_subculture_viking_nordic	att_inf_javelin_land	att_special_transportship_naval	1
dan_ceorl_spearmen_garrison		0	light	1	false	dan_ceorl_spearmen	160	0	65	vik_byrdingr	1	20	200	0	65			20	light	-1		false	false	0	24248	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
dan_danelaw_huscarls_garrison		0	heavy	1	false	dan_danelaw_huscarls	160	2	10000	vik_byrdingr	1	20	200	0	10000			5000	heavy	-1		false	false	0	24257	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_fyrd_archers_garrison		0	light	1	false	dan_fyrd_archers	60	0	120	vik_byrdingr_mis	1	20	200	0	120			60	very_light	-1		false	false	0	24266	true		vo_subculture_viking_nordic	att_inf_sling_land	att_special_transportship_naval	1
dan_fyrd_spearmen_garrison		0	light	1	false	dan_fyrd_spearmen	160	0	10000	vik_byrdingr	1	20	200	0	10000			5000	light	-1		false	false	0	25972	true		vo_subculture_viking_nordic	att_inf_spear_land	att_special_transportship_naval	1
dan_great_axemen_garrison		0	light	1	false	dan_great_axemen	160	0	180	vik_byrdingr	1	20	200	0	180			90	light	-1		false	false	0	24268	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_huscarls_garrison		0	heavy	1	false	dan_huscarls	120	2	335	vik_byrdingr	1	20	200	0	335			170	heavy	-1		false	false	0	24277	true		vo_subculture_viking_nordic	att_inf_axe_land	att_special_transportship_naval	2
dan_jarls_horsemen_garrison		0	medium	1	false	dan_jarls_horsemen	48	2	340	vik_byrdingr_mis	1	20	200	0	340			170	heavy	-1		false	false	0	24278	true		vo_subculture_viking_nordic	att_cav_melee_land	att_special_transportship_naval	2
dan_jarls_huscarls_garrison		0	heavy	1	false	dan_jarls_huscarls	48	1	265	vik_byrdingr	1	20	200	0	265			140	super_heavy	1		false	false	0	24283	true		vo_subculture_viking_nordic	shieldwall_mercenary	att_special_transportship_naval	1
dan_javelinmen_garrison		0	light	1	false	dan_javelinmen	60	0	110	vik_byrdingr_mis	1	20	200	0	110			60	light	-1		false	false	0	24294	true		vo_subculture_viking_nordic	att_inf_javelin_land	att_special_transportship_naval	1
