unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/northleode					
			eng_north_champion	infantry_units_spears	false
			eng_north_horsemen	mounted_warriors	false
			eng_north_horsemen	cavalry_units	false
			eng_north_hunters	bow_units	false
			eng_north_hunters	hunters	false
			eng_north_javelinmen	javelin_units	false
			eng_north_spearmen	infantry_units_spears	false
			eng_north_champion	nobles	false
			eng_north_horsemen	nobles	false
			eng_north_champion	foot_nobles	false
			eng_north_horsemen	vik_retinue_cavalry	false
			eng_north_champion	heroes	false
			eng_north_hunters	peasants	false
			eng_north_javelinmen	peasants	false
			eng_north_spearmen	peasants	false
			eng_north_champion	all_units	false
			eng_north_horsemen	all_units	false
			eng_north_hunters	all_units	false
			eng_north_javelinmen	all_units	false
			eng_north_spearmen	all_units	false
			eng_north_champion	all_units_except_siege	false
			eng_north_horsemen	all_units_except_siege	false
			eng_north_hunters	all_units_except_siege	false
			eng_north_javelinmen	all_units_except_siege	false
			eng_north_spearmen	all_units_except_siege	false
			eng_north_hunters	english_peasants	false
			eng_north_javelinmen	english_peasants	false
			eng_north_spearmen	english_peasants	false
			eng_north_horsemen	nobles_except_heroes	false
			eng_north_javelinmen	levy_peasant_ranged	false
			eng_north_spearmen	levy_peasant_melee	false
			eng_north_horsemen	levy_noble_cavalry_or_ranged	false
			eng_north_hunters	peasants_except_siege_and_dogs	false
			eng_north_javelinmen	peasants_except_siege_and_dogs	false
			eng_north_spearmen	peasants_except_siege_and_dogs	false
			eng_north_spearmen	fyrdmen	false
			eng_north_spearmen	fyrdmen_infantry	false
			eng_north_javelinmen	fyrdmen	false
			eng_north_javelinmen	fyrdmen_skirmishers	false
