choice_key	dilemma_key
#cdir_events_dilemma_choice_details_tables;0;db/cdir_events_dilemma_choice_details_tables/secure_loyalty	
FIRST	sw_secure_loyalty_wants_money
FIRST	sw_secure_loyalty_wants_influence
FIRST	sw_secure_loyalty_make_an_offer
FIRST	sw_secure_loyalty_break_knees
SECOND	sw_secure_loyalty_wants_money
SECOND	sw_secure_loyalty_wants_influence
SECOND	sw_secure_loyalty_make_an_offer
SECOND	sw_secure_loyalty_break_knees
THIRD	sw_secure_loyalty_make_an_offer
FOURTH	sw_secure_loyalty_make_an_offer
