id	dilemma_key	option_key	value
#cdir_events_dilemma_option_junctions_tables;2;db/cdir_events_dilemma_option_junctions_tables/secure_loyalty			
41647301	sw_secure_loyalty_wants_money	VAR_CHANCE	100
41647302	sw_secure_loyalty_wants_money	GEN_CND_CHARACTER_NOT_TRAIT	shield_judge_honourable
41647303	sw_secure_loyalty_wants_money	GEN_CND_CHARACTER_NOT_TRAIT	shield_judge_just
41647304	sw_secure_loyalty_wants_money	GEN_CND_CHARACTER_NOT_TRAIT	shield_judge_lawful
41647305	sw_secure_loyalty_wants_money	GEN_TARGET_POLITICAL_EVENT	
41647306	sw_secure_loyalty_wants_money	CND_CAMPAIGN	vik_attila
41647307	sw_secure_loyalty_wants_influence	VAR_CHANCE	100
41647308	sw_secure_loyalty_wants_influence	GEN_TARGET_POLITICAL_EVENT	
41647309	sw_secure_loyalty_wants_influence	GEN_CND_CHARACTER_NOT_TRAIT	shield_noble_high_born
41647310	sw_secure_loyalty_wants_influence	CND_CAMPAIGN	vik_attila
41647311	sw_secure_loyalty_make_an_offer	VAR_CHANCE	100
41647312	sw_secure_loyalty_make_an_offer	GEN_TARGET_POLITICAL_EVENT	
41647313	sw_secure_loyalty_make_an_offer	CND_CAMPAIGN	vik_attila
41647314	sw_secure_loyalty_break_knees	VAR_CHANCE	100
41647315	sw_secure_loyalty_break_knees	GEN_TARGET_POLITICAL_EVENT	
41647316	sw_secure_loyalty_break_knees	CND_CAMPAIGN	vik_attila
