id	incident_key	option_key	value
#cdir_events_incident_option_junctions_tables;2;db/cdir_events_incident_option_junctions_tables/disloyal_traits			
41647301	sw_politics_becomes_corrupt	GEN_TARGET_CHARACTER	
41647302	sw_politics_becomes_treasonous	GEN_TARGET_CHARACTER	
41647303	sw_politics_becomes_corrupt	GEN_CND_CHARACTER_TRAIT	shield_trait_disloyal
41647304	sw_politics_becomes_treasonous	GEN_CND_CHARACTER_TRAIT	shield_trait_disloyal
41647305	sw_politics_becomes_corrupt	GEN_CND_CHARACTER_NOT_TRAIT	shield_brute_corrupt
41647306	sw_politics_becomes_treasonous	GEN_CND_CHARACTER_NOT_TRAIT	shield_tyrant_treasonous
41647307	sw_politics_becomes_corrupt	VAR_CHANCE	30
41647308	sw_politics_becomes_treasonous	VAR_CHANCE	15
41647309	sw_politics_becomes_corrupt	GEN_CND_CHARACTER_NOT_TRAIT	shield_faithful_repentent
41647310	sw_politics_becomes_treasonous	GEN_CND_CHARACTER_NOT_TRAIT	shield_faithful_repentent
41647311	sw_politics_becomes_corrupt	GEN_CND_CHARACTER_NOT_TRAIT	shield_judge_lawful
41647312	sw_politics_becomes_treasonous	GEN_CND_CHARACTER_NOT_TRAIT	shield_judge_honourable
41647313	sw_politics_becomes_corrupt	GEN_CND_MAX_CHARACTER_GRAVITAS	4
41647314	sw_politics_becomes_treasonous	GEN_CND_MAX_CHARACTER_GRAVITAS	4
41647315	sw_politics_becomes_corrupt	GEN_CND_OWNS	
41647316	sw_politics_becomes_treasonous	GEN_CND_OWNS	
