incident	political_action	weighting	optimal_outcome
#political_actions_incidents_junctions_tables;2;db/political_actions_incidents_junctions_tables/political_actions_incidents_junctions			
vik_politics_adoption_success	adopt	8	true
vik_politics_assassinate_success_1	assassinate	3	false
vik_politics_assassinate_success_2	assassinate	3	false
vik_politics_assassinate_success_3	assassinate	3	false
vik_politics_assassinate_success_suspicious_1	assassinate	3	false
vik_politics_assassinate_success_suspicious_2	assassinate	3	false
vik_politics_assassinate_wound_1	assassinate	3	false
vik_politics_assassinate_wound_2	assassinate	3	false
vik_politics_assassinate_wound_suspicious	assassinate	3	false
vik_politics_lower_influence_both	diminish_popularity	4	false
vik_politics_lower_influence_success	diminish_popularity	4	false
vik_politics_divorce_success	divorce	8	true
vik_politics_divorce_upset	divorce	6	false
vik_politics_hold_feast_success	gather_support	6	false
vik_politics_marriage_success	marriage	8	true
vik_politics_strip_estate_success_agriculture	strip_estate_agricultural	5	false
vik_politics_strip_estate_unhappy_agriculture	strip_estate_agricultural	5	false
vik_tob_incident_strip_estate_agricultural_allegiance	strip_estate_agricultural	9	false
vik_tob_incident_strip_estate_agricultural_criminal	strip_estate_agricultural	1	false
vik_tob_incident_strip_estate_agricultural_lose_influence	strip_estate_agricultural	9	false
vik_tob_incident_strip_estate_agricultural_lose_money	strip_estate_agricultural	6	false
vik_tob_incident_strip_estate_agricultural_outraged	strip_estate_agricultural	4	false
vik_tob_incident_strip_estate_agricultural_public_order	strip_estate_agricultural	5	false
vik_politics_strip_estate_success_estate_building	strip_estate_estate_building	5	false
vik_politics_strip_estate_unhappy_estate_building	strip_estate_estate_building	5	false
vik_tob_incident_strip_estate_noble_allegiance	strip_estate_estate_building	9	false
vik_tob_incident_strip_estate_noble_criminal	strip_estate_estate_building	1	false
vik_tob_incident_strip_estate_noble_lose_influence	strip_estate_estate_building	9	false
vik_tob_incident_strip_estate_noble_lose_money	strip_estate_estate_building	6	false
vik_tob_incident_strip_estate_noble_outraged	strip_estate_estate_building	4	false
vik_tob_incident_strip_estate_noble_public_order	strip_estate_estate_building	5	false
vik_politics_strip_estate_success_religious	strip_estate_religious	5	false
vik_politics_strip_estate_unhappy_religious	strip_estate_religious	5	false
vik_tob_incident_strip_estate_religious_allegiance	strip_estate_religious	9	false
vik_tob_incident_strip_estate_religious_criminal	strip_estate_religious	1	false
vik_tob_incident_strip_estate_religious_lose_influence	strip_estate_religious	9	false
vik_tob_incident_strip_estate_religious_lose_money	strip_estate_religious	6	false
vik_tob_incident_strip_estate_religious_outraged	strip_estate_religious	4	false
vik_tob_incident_strip_estate_religious_public_order	strip_estate_religious	5	false
vik_politics_strip_estate_success	strip_estate	4	false
vik_politics_strip_estate_unhappy	strip_estate	3	false
