effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/monk_effects				
sw_pop_monk_1	vik_gdp_mod_church	faction_to_region_own_unseen	-100.0	start_turn_completed
sw_pop_monk_2	vik_public_order_new_positive_faction	faction_to_region_own	1.0	start_turn_completed
sw_pop_monk_3	vik_public_order_new_positive_faction	faction_to_region_own	1.0	start_turn_completed
sw_pop_monk_4	vik_public_order_new_positive_faction	faction_to_region_own	1.0	start_turn_completed
sw_pop_monk_5	vik_public_order_new_positive_faction	faction_to_region_own	1.0	start_turn_completed
sw_pop_monk_6	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_monk_7	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_monk_8	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_monk_9	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_monk_10	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_monk_11	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_monk_12	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_monk_13	vik_public_order_new_positive_faction	faction_to_region_own	3.0	start_turn_completed
sw_pop_monk_14	vik_public_order_new_positive_faction	faction_to_region_own	3.0	start_turn_completed
sw_pop_monk_15	vik_public_order_new_positive_faction	faction_to_region_own	3.0	start_turn_completed
sw_pop_monk_16	vik_public_order_new_positive_faction	faction_to_region_own	3.0	start_turn_completed
sw_pop_monk_2	vik_research_rate	faction_to_faction_own_unseen	15.0	start_turn_completed
sw_pop_monk_3	vik_research_rate	faction_to_faction_own_unseen	30.0	start_turn_completed
sw_pop_monk_4	vik_research_rate	faction_to_faction_own_unseen	45.0	start_turn_completed
sw_pop_monk_5	vik_research_rate	faction_to_faction_own_unseen	60.0	start_turn_completed
sw_pop_monk_6	vik_research_rate	faction_to_faction_own_unseen	75.0	start_turn_completed
sw_pop_monk_7	vik_research_rate	faction_to_faction_own_unseen	90.0	start_turn_completed
sw_pop_monk_8	vik_research_rate	faction_to_faction_own_unseen	105.0	start_turn_completed
sw_pop_monk_9	vik_research_rate	faction_to_faction_own_unseen	120.0	start_turn_completed
sw_pop_monk_10	vik_research_rate	faction_to_faction_own_unseen	135.0	start_turn_completed
sw_pop_monk_11	vik_research_rate	faction_to_faction_own_unseen	150.0	start_turn_completed
sw_pop_monk_12	vik_research_rate	faction_to_faction_own_unseen	165.0	start_turn_completed
sw_pop_monk_13	vik_research_rate	faction_to_faction_own_unseen	180.0	start_turn_completed
sw_pop_monk_14	vik_research_rate	faction_to_faction_own_unseen	195.0	start_turn_completed
sw_pop_monk_15	vik_research_rate	faction_to_faction_own_unseen	210.0	start_turn_completed
sw_pop_monk_16	vik_research_rate	faction_to_faction_own_unseen	225.0	start_turn_completed
sw_pop_monk_4	vik_gdp_mod_church	faction_to_region_own_unseen	24.0	start_turn_completed
sw_pop_monk_5	vik_gdp_mod_church	faction_to_region_own_unseen	32.0	start_turn_completed
sw_pop_monk_6	vik_gdp_mod_church	faction_to_region_own_unseen	40.0	start_turn_completed
sw_pop_monk_7	vik_gdp_mod_church	faction_to_region_own_unseen	48.0	start_turn_completed
sw_pop_monk_8	vik_gdp_mod_church	faction_to_region_own_unseen	56.0	start_turn_completed
sw_pop_monk_9	vik_gdp_mod_church	faction_to_region_own_unseen	64.0	start_turn_completed
sw_pop_monk_10	vik_gdp_mod_church	faction_to_region_own_unseen	72.0	start_turn_completed
sw_pop_monk_11	vik_gdp_mod_church	faction_to_region_own_unseen	80.0	start_turn_completed
sw_pop_monk_12	vik_gdp_mod_church	faction_to_region_own_unseen	88.0	start_turn_completed
sw_pop_monk_13	vik_gdp_mod_church	faction_to_region_own_unseen	96.0	start_turn_completed
sw_pop_monk_14	vik_gdp_mod_church	faction_to_region_own_unseen	104.0	start_turn_completed
sw_pop_monk_15	vik_gdp_mod_church	faction_to_region_own_unseen	112.0	start_turn_completed
sw_pop_monk_16	vik_gdp_mod_church	faction_to_region_own_unseen	120.0	start_turn_completed
sw_pop_monk_17	vik_gdp_mod_church	faction_to_region_own_unseen	-100.0	start_turn_completed
sw_pop_monk_18	vik_research_rate	faction_to_faction_own_unseen	15.0	start_turn_completed
sw_pop_monk_19	vik_research_rate	faction_to_faction_own_unseen	30.0	start_turn_completed
sw_pop_monk_20	vik_research_rate	faction_to_faction_own_unseen	45.0	start_turn_completed
sw_pop_monk_21	vik_research_rate	faction_to_faction_own_unseen	60.0	start_turn_completed
sw_pop_monk_22	vik_research_rate	faction_to_faction_own_unseen	75.0	start_turn_completed
sw_pop_monk_23	vik_research_rate	faction_to_faction_own_unseen	90.0	start_turn_completed
sw_pop_monk_24	vik_research_rate	faction_to_faction_own_unseen	105.0	start_turn_completed
sw_pop_monk_25	vik_research_rate	faction_to_faction_own_unseen	120.0	start_turn_completed
sw_pop_monk_26	vik_research_rate	faction_to_faction_own_unseen	135.0	start_turn_completed
sw_pop_monk_27	vik_research_rate	faction_to_faction_own_unseen	150.0	start_turn_completed
sw_pop_monk_28	vik_research_rate	faction_to_faction_own_unseen	165.0	start_turn_completed
