effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/nobles_effects				
sw_pop_noble_2	sw_banditry	faction_to_faction_own_unseen	2.0	start_turn_completed
sw_pop_noble_2	vik_public_order_new_negative_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_noble_3	vik_public_order_new_positive_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_noble_3	vik_tax_mod	faction_to_province_own_unseen	15.0	start_turn_completed
sw_pop_noble_2	sw_dummy_nobles_outnumbered	faction_to_faction_own_unseen	1.0	start_turn_completed
sw_pop_noble_3	sw_dummy_nobles_good	faction_to_faction_own_unseen	1.0	start_turn_completed
sw_pop_noble_1	sw_dummy_nobles_outnumbered	faction_to_faction_own_unseen	1.0	start_turn_completed
sw_pop_noble_1	sw_banditry	faction_to_faction_own_unseen	2.0	start_turn_completed
sw_pop_noble_1	vik_public_order_new_negative_faction	faction_to_region_own	2.0	start_turn_completed
sw_pop_noble_1	sw_no_replen_lord	faction_to_army_own	-100.0	start_turn_completed
