effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/serf_effects				
sw_pop_serf_1	vik_gdp_mod_market	faction_to_region_own_unseen	-100.0	start_turn_completed
sw_pop_serf_2	vik_gdp_mod_market	faction_to_region_own_unseen	10.0	start_turn_completed
sw_pop_serf_3	vik_gdp_mod_market	faction_to_region_own_unseen	15.0	start_turn_completed
sw_pop_serf_4	vik_gdp_mod_market	faction_to_region_own_unseen	20.0	start_turn_completed
sw_pop_serf_5	vik_gdp_mod_market	faction_to_region_own_unseen	25.0	start_turn_completed
sw_pop_serf_6	vik_gdp_mod_market	faction_to_region_own_unseen	30.0	start_turn_completed
sw_pop_serf_7	vik_gdp_mod_market	faction_to_region_own_unseen	35.0	start_turn_completed
sw_pop_serf_8	vik_gdp_mod_market	faction_to_region_own_unseen	40.0	start_turn_completed
sw_pop_serf_9	vik_gdp_mod_market	faction_to_region_own_unseen	45.0	start_turn_completed
sw_pop_serf_10	vik_gdp_mod_market	faction_to_region_own_unseen	50.0	start_turn_completed
sw_pop_serf_11	vik_gdp_mod_market	faction_to_region_own_unseen	55.0	start_turn_completed
sw_pop_serf_12	vik_gdp_mod_market	faction_to_region_own_unseen	60.0	start_turn_completed
sw_pop_serf_13	vik_gdp_mod_market	faction_to_region_own_unseen	65.0	start_turn_completed
sw_pop_serf_14	vik_gdp_mod_market	faction_to_region_own_unseen	70.0	start_turn_completed
sw_pop_serf_15	vik_gdp_mod_market	faction_to_region_own_unseen	75.0	start_turn_completed
sw_pop_serf_16	vik_gdp_mod_market	faction_to_region_own_unseen	80.0	start_turn_completed
sw_pop_serf_1	sw_no_replen_serf	faction_to_army_own	-100.0	start_turn_completed
sw_pop_serf_6	sw_replen_serf	faction_to_army_own	5.0	start_turn_completed
sw_pop_serf_7	sw_replen_serf	faction_to_army_own	10.0	start_turn_completed
sw_pop_serf_8	sw_replen_serf	faction_to_army_own	15.0	start_turn_completed
sw_pop_serf_9	sw_replen_serf	faction_to_army_own	20.0	start_turn_completed
sw_pop_serf_10	sw_replen_serf	faction_to_army_own	25.0	start_turn_completed
sw_pop_serf_11	sw_replen_serf	faction_to_army_own	30.0	start_turn_completed
sw_pop_serf_12	sw_replen_serf	faction_to_army_own	35.0	start_turn_completed
sw_pop_serf_13	sw_replen_serf	faction_to_army_own	40.0	start_turn_completed
sw_pop_serf_14	sw_replen_serf	faction_to_army_own	50.0	start_turn_completed
sw_pop_serf_15	sw_replen_serf	faction_to_army_own	60.0	start_turn_completed
sw_pop_serf_16	sw_replen_serf	faction_to_army_own	75.0	start_turn_completed
