component	icon
#campaign_payload_ui_details_tables;0;db/campaign_payload_ui_details_tables/region_event_campaign_payloads	
sw_religion_convert_church_1	pop_monk.png
sw_dead_governor	pop_lord.png
sw_skills_gothi_shield_heathen_pagan_2	food_negative.png
sw_gifts_ally_region	icon_province.png
sw_gifts_our_region_defects_defeat	icon_province.png
sw_gifts_our_region_defects_riots	icon_province.png
sw_gifts_our_region_defects_war	icon_province.png
sw_gifts_our_village_defects	icon_province.png
sw_gifts_region_defection_victories	icon_province.png
sw_gifts_region_defection_war	personality_bad.png
sw_governor_trait_shield_heathen_berserker	personality_positive.png
sw_keep_it	pop_foreign_positive.png
sw_lose_storage	food_negative.png
sw_religion_convert_church_2	supplies.png
sw_receive_region	icon_province.png
sw_return_land	icon_province.png
sw_skills_gothi_shield_heathen_pagan_1	attrition_enemy.png
training	experience_positive.png
sw_governor_trait_shield_brute_corrupt	personality_bad.png
sw_king_trait_shield_tyrant_opressor	personality_bad.png
sw_governor_trait_shield_tyrant_opressor	personality_bad.png
sw_governor_lost_trait_shield_elder_loved	personality_bad.png
sw_resupply_1	vik_warehouse_effect_bundles.png
sw_resupply_2	vik_warehouse_effect_bundles.png
sw_resupply_3	vik_warehouse_effect_bundles.png
