id	dilemma_key	option_key	value
#cdir_events_dilemma_option_junctions_tables;2;db/cdir_events_dilemma_option_junctions_tables/sw_pop_update_new_region_dilemmas			
27272701	sw_foreign_displacement_vik_reg_aberffro	GEN_TARGET_REGION	
27272702	sw_foreign_displacement_vik_reg_aberffro	GEN_CND_REGION	vik_reg_aberffro
27272703	sw_foreign_displacement_vik_reg_aberffro	VAR_CHANCE	100
27272704	sw_foreign_displacement_vik_reg_aberffro	GEN_CND_OWNS	
27272705	sw_foreign_displacement_vik_reg_aberteifi	GEN_TARGET_REGION	
27272706	sw_foreign_displacement_vik_reg_aberteifi	GEN_CND_REGION	vik_reg_aberteifi
27272707	sw_foreign_displacement_vik_reg_aberteifi	VAR_CHANCE	100
27272708	sw_foreign_displacement_vik_reg_aberteifi	GEN_CND_OWNS	
27272709	sw_foreign_displacement_vik_reg_achadh_bo	GEN_TARGET_REGION	
27272710	sw_foreign_displacement_vik_reg_achadh_bo	GEN_CND_REGION	vik_reg_achadh_bo
27272711	sw_foreign_displacement_vik_reg_achadh_bo	VAR_CHANCE	100
27272712	sw_foreign_displacement_vik_reg_achadh_bo	GEN_CND_OWNS	
27272713	sw_foreign_displacement_vik_reg_aethelingaeg	GEN_TARGET_REGION	
27272714	sw_foreign_displacement_vik_reg_aethelingaeg	GEN_CND_REGION	vik_reg_aethelingaeg
27272715	sw_foreign_displacement_vik_reg_aethelingaeg	VAR_CHANCE	100
27272716	sw_foreign_displacement_vik_reg_aethelingaeg	GEN_CND_OWNS	
27272717	sw_foreign_displacement_vik_reg_airchardan	GEN_TARGET_REGION	
27272718	sw_foreign_displacement_vik_reg_airchardan	GEN_CND_REGION	vik_reg_airchardan
27272719	sw_foreign_displacement_vik_reg_airchardan	VAR_CHANCE	100
27272720	sw_foreign_displacement_vik_reg_airchardan	GEN_CND_OWNS	
27272721	sw_foreign_displacement_vik_reg_bebbanburg	GEN_TARGET_REGION	
27272722	sw_foreign_displacement_vik_reg_bebbanburg	GEN_CND_REGION	vik_reg_bebbanburg
27272723	sw_foreign_displacement_vik_reg_bebbanburg	VAR_CHANCE	100
27272724	sw_foreign_displacement_vik_reg_bebbanburg	GEN_CND_OWNS	
27272725	sw_foreign_displacement_vik_reg_blascona	GEN_TARGET_REGION	
27272726	sw_foreign_displacement_vik_reg_blascona	GEN_CND_REGION	vik_reg_blascona
27272727	sw_foreign_displacement_vik_reg_blascona	VAR_CHANCE	100
27272728	sw_foreign_displacement_vik_reg_blascona	GEN_CND_OWNS	
27272729	sw_foreign_displacement_vik_reg_bornais	GEN_TARGET_REGION	
27272730	sw_foreign_displacement_vik_reg_bornais	GEN_CND_REGION	vik_reg_bornais
27272731	sw_foreign_displacement_vik_reg_bornais	VAR_CHANCE	100
27272732	sw_foreign_displacement_vik_reg_bornais	GEN_CND_OWNS	
27272733	sw_foreign_displacement_vik_reg_cair_gwent	GEN_TARGET_REGION	
27272734	sw_foreign_displacement_vik_reg_cair_gwent	GEN_CND_REGION	vik_reg_cair_gwent
27272735	sw_foreign_displacement_vik_reg_cair_gwent	VAR_CHANCE	100
27272736	sw_foreign_displacement_vik_reg_cair_gwent	GEN_CND_OWNS	
27272737	sw_foreign_displacement_vik_reg_caisil	GEN_TARGET_REGION	
27272738	sw_foreign_displacement_vik_reg_caisil	GEN_CND_REGION	vik_reg_caisil
27272739	sw_foreign_displacement_vik_reg_caisil	VAR_CHANCE	100
27272740	sw_foreign_displacement_vik_reg_caisil	GEN_CND_OWNS	
27272741	sw_foreign_displacement_vik_reg_cantwaraburg	GEN_TARGET_REGION	
27272742	sw_foreign_displacement_vik_reg_cantwaraburg	GEN_CND_REGION	vik_reg_cantwaraburg
27272743	sw_foreign_displacement_vik_reg_cantwaraburg	VAR_CHANCE	100
27272744	sw_foreign_displacement_vik_reg_cantwaraburg	GEN_CND_OWNS	
27272745	sw_foreign_displacement_vik_reg_carleol	GEN_TARGET_REGION	
27272746	sw_foreign_displacement_vik_reg_carleol	GEN_CND_REGION	vik_reg_carleol
27272747	sw_foreign_displacement_vik_reg_carleol	VAR_CHANCE	100
27272748	sw_foreign_displacement_vik_reg_carleol	GEN_CND_OWNS	
27272749	sw_foreign_displacement_vik_reg_casteltoun	GEN_TARGET_REGION	
27272750	sw_foreign_displacement_vik_reg_casteltoun	GEN_CND_REGION	vik_reg_casteltoun
27272751	sw_foreign_displacement_vik_reg_casteltoun	VAR_CHANCE	100
27272752	sw_foreign_displacement_vik_reg_casteltoun	GEN_CND_OWNS	
27272753	sw_foreign_displacement_vik_reg_cathair_commain	GEN_TARGET_REGION	
27272754	sw_foreign_displacement_vik_reg_cathair_commain	GEN_CND_REGION	vik_reg_cathair_commain
27272755	sw_foreign_displacement_vik_reg_cathair_commain	VAR_CHANCE	100
27272756	sw_foreign_displacement_vik_reg_cathair_commain	GEN_CND_OWNS	
27272757	sw_foreign_displacement_vik_reg_ceaster	GEN_TARGET_REGION	
27272758	sw_foreign_displacement_vik_reg_ceaster	GEN_CND_REGION	vik_reg_ceaster
27272759	sw_foreign_displacement_vik_reg_ceaster	VAR_CHANCE	100
27272760	sw_foreign_displacement_vik_reg_ceaster	GEN_CND_OWNS	
27272761	sw_foreign_displacement_vik_reg_cetretha	GEN_TARGET_REGION	
27272762	sw_foreign_displacement_vik_reg_cetretha	GEN_CND_REGION	vik_reg_cetretha
27272763	sw_foreign_displacement_vik_reg_cetretha	VAR_CHANCE	100
27272764	sw_foreign_displacement_vik_reg_cetretha	GEN_CND_OWNS	
27272765	sw_foreign_displacement_vik_reg_cippanhamm	GEN_TARGET_REGION	
27272766	sw_foreign_displacement_vik_reg_cippanhamm	GEN_CND_REGION	vik_reg_cippanhamm
27272767	sw_foreign_displacement_vik_reg_cippanhamm	VAR_CHANCE	100
27272768	sw_foreign_displacement_vik_reg_cippanhamm	GEN_CND_OWNS	
27272769	sw_foreign_displacement_vik_reg_colneceaster	GEN_TARGET_REGION	
27272770	sw_foreign_displacement_vik_reg_colneceaster	GEN_CND_REGION	vik_reg_colneceaster
27272771	sw_foreign_displacement_vik_reg_colneceaster	VAR_CHANCE	100
27272772	sw_foreign_displacement_vik_reg_colneceaster	GEN_CND_OWNS	
27272773	sw_foreign_displacement_vik_reg_corcach	GEN_TARGET_REGION	
27272774	sw_foreign_displacement_vik_reg_corcach	GEN_CND_REGION	vik_reg_corcach
27272775	sw_foreign_displacement_vik_reg_corcach	VAR_CHANCE	100
27272776	sw_foreign_displacement_vik_reg_corcach	GEN_CND_OWNS	
27272777	sw_foreign_displacement_vik_reg_dinefwr	GEN_TARGET_REGION	
27272778	sw_foreign_displacement_vik_reg_dinefwr	GEN_CND_REGION	vik_reg_dinefwr
27272779	sw_foreign_displacement_vik_reg_dinefwr	VAR_CHANCE	100
27272780	sw_foreign_displacement_vik_reg_dinefwr	GEN_CND_OWNS	
27272781	sw_foreign_displacement_vik_reg_doreceaster	GEN_TARGET_REGION	
27272782	sw_foreign_displacement_vik_reg_doreceaster	GEN_CND_REGION	vik_reg_doreceaster
27272783	sw_foreign_displacement_vik_reg_doreceaster	VAR_CHANCE	100
27272784	sw_foreign_displacement_vik_reg_doreceaster	GEN_CND_OWNS	
27272785	sw_foreign_displacement_vik_reg_druim_da_ethiar	GEN_TARGET_REGION	
27272786	sw_foreign_displacement_vik_reg_druim_da_ethiar	GEN_CND_REGION	vik_reg_druim_da_ethiar
27272787	sw_foreign_displacement_vik_reg_druim_da_ethiar	VAR_CHANCE	100
27272788	sw_foreign_displacement_vik_reg_druim_da_ethiar	GEN_CND_OWNS	
27272789	sw_foreign_displacement_vik_reg_dun_att	GEN_TARGET_REGION	
27272790	sw_foreign_displacement_vik_reg_dun_att	GEN_CND_REGION	vik_reg_dun_att
27272791	sw_foreign_displacement_vik_reg_dun_att	VAR_CHANCE	100
27272792	sw_foreign_displacement_vik_reg_dun_att	GEN_CND_OWNS	
27272793	sw_foreign_displacement_vik_reg_dun_foither	GEN_TARGET_REGION	
27272794	sw_foreign_displacement_vik_reg_dun_foither	GEN_CND_REGION	vik_reg_dun_foither
27272795	sw_foreign_displacement_vik_reg_dun_foither	VAR_CHANCE	100
27272796	sw_foreign_displacement_vik_reg_dun_foither	GEN_CND_OWNS	
27272797	sw_foreign_displacement_vik_reg_dun_patraic	GEN_TARGET_REGION	
27272798	sw_foreign_displacement_vik_reg_dun_patraic	GEN_CND_REGION	vik_reg_dun_patraic
27272799	sw_foreign_displacement_vik_reg_dun_patraic	VAR_CHANCE	100
27272800	sw_foreign_displacement_vik_reg_dun_patraic	GEN_CND_OWNS	
27272801	sw_foreign_displacement_vik_reg_dun_sebuirgi	GEN_TARGET_REGION	
27272802	sw_foreign_displacement_vik_reg_dun_sebuirgi	GEN_CND_REGION	vik_reg_dun_sebuirgi
27272803	sw_foreign_displacement_vik_reg_dun_sebuirgi	VAR_CHANCE	100
27272804	sw_foreign_displacement_vik_reg_dun_sebuirgi	GEN_CND_OWNS	
27272805	sw_foreign_displacement_vik_reg_dyflin	GEN_TARGET_REGION	
