id	incident_key	option_key	value
#cdir_events_incident_option_junctions_tables;2;db/cdir_events_incident_option_junctions_tables/sw_pop_update_new_region_incidents			
27272701	sw_foreign_army_vik_reg_aberffro	GEN_TARGET_REGION	
27272702	sw_foreign_army_vik_reg_aberffro	GEN_CND_REGION	vik_reg_aberffro
27272703	sw_foreign_army_vik_reg_aberffro	VAR_CHANCE	100
27272704	sw_foreign_army_vik_reg_aberffro	GEN_CND_OWNS	
27272705	sw_foreign_army_vik_reg_aberteifi	GEN_TARGET_REGION	
27272706	sw_foreign_army_vik_reg_aberteifi	GEN_CND_REGION	vik_reg_aberteifi
27272707	sw_foreign_army_vik_reg_aberteifi	VAR_CHANCE	100
27272708	sw_foreign_army_vik_reg_aberteifi	GEN_CND_OWNS	
27272709	sw_foreign_army_vik_reg_achadh_bo	GEN_TARGET_REGION	
27272710	sw_foreign_army_vik_reg_achadh_bo	GEN_CND_REGION	vik_reg_achadh_bo
27272711	sw_foreign_army_vik_reg_achadh_bo	VAR_CHANCE	100
27272712	sw_foreign_army_vik_reg_achadh_bo	GEN_CND_OWNS	
27272713	sw_foreign_army_vik_reg_aethelingaeg	GEN_TARGET_REGION	
27272714	sw_foreign_army_vik_reg_aethelingaeg	GEN_CND_REGION	vik_reg_aethelingaeg
27272715	sw_foreign_army_vik_reg_aethelingaeg	VAR_CHANCE	100
27272716	sw_foreign_army_vik_reg_aethelingaeg	GEN_CND_OWNS	
27272717	sw_foreign_army_vik_reg_airchardan	GEN_TARGET_REGION	
27272718	sw_foreign_army_vik_reg_airchardan	GEN_CND_REGION	vik_reg_airchardan
27272719	sw_foreign_army_vik_reg_airchardan	VAR_CHANCE	100
27272720	sw_foreign_army_vik_reg_airchardan	GEN_CND_OWNS	
27272721	sw_foreign_army_vik_reg_bebbanburg	GEN_TARGET_REGION	
27272722	sw_foreign_army_vik_reg_bebbanburg	GEN_CND_REGION	vik_reg_bebbanburg
27272723	sw_foreign_army_vik_reg_bebbanburg	VAR_CHANCE	100
27272724	sw_foreign_army_vik_reg_bebbanburg	GEN_CND_OWNS	
27272725	sw_foreign_army_vik_reg_blascona	GEN_TARGET_REGION	
27272726	sw_foreign_army_vik_reg_blascona	GEN_CND_REGION	vik_reg_blascona
27272727	sw_foreign_army_vik_reg_blascona	VAR_CHANCE	100
27272728	sw_foreign_army_vik_reg_blascona	GEN_CND_OWNS	
27272729	sw_foreign_army_vik_reg_bornais	GEN_TARGET_REGION	
27272730	sw_foreign_army_vik_reg_bornais	GEN_CND_REGION	vik_reg_bornais
27272731	sw_foreign_army_vik_reg_bornais	VAR_CHANCE	100
27272732	sw_foreign_army_vik_reg_bornais	GEN_CND_OWNS	
27272733	sw_foreign_army_vik_reg_cair_gwent	GEN_TARGET_REGION	
27272734	sw_foreign_army_vik_reg_cair_gwent	GEN_CND_REGION	vik_reg_cair_gwent
27272735	sw_foreign_army_vik_reg_cair_gwent	VAR_CHANCE	100
27272736	sw_foreign_army_vik_reg_cair_gwent	GEN_CND_OWNS	
27272737	sw_foreign_army_vik_reg_caisil	GEN_TARGET_REGION	
27272738	sw_foreign_army_vik_reg_caisil	GEN_CND_REGION	vik_reg_caisil
27272739	sw_foreign_army_vik_reg_caisil	VAR_CHANCE	100
27272740	sw_foreign_army_vik_reg_caisil	GEN_CND_OWNS	
27272741	sw_foreign_army_vik_reg_cantwaraburg	GEN_TARGET_REGION	
