id	incident_key	payload_key	value
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/sw_pop_update_new_region_incidents			
27272701	sw_foreign_banditry_vik_reg_abberdeon	sw_foreign_banditry	DURATION[4];GLOBAL
27272702	sw_foreign_banditry_vik_reg_abberdeon	TARGET	EVENT
27272703	sw_foreign_banditry_vik_reg_aebburcurnig	sw_foreign_banditry	DURATION[4];GLOBAL
27272704	sw_foreign_banditry_vik_reg_aebburcurnig	TARGET	EVENT
27272705	sw_foreign_banditry_vik_reg_aelmham	sw_foreign_banditry	DURATION[4];GLOBAL
27272706	sw_foreign_banditry_vik_reg_aelmham	TARGET	EVENT
27272707	sw_foreign_banditry_vik_reg_alclyt	sw_foreign_banditry	DURATION[4];GLOBAL
27272708	sw_foreign_banditry_vik_reg_alclyt	TARGET	EVENT
27272709	sw_foreign_banditry_vik_reg_alt_clut	sw_foreign_banditry	DURATION[4];GLOBAL
27272710	sw_foreign_banditry_vik_reg_alt_clut	TARGET	EVENT
27272711	sw_foreign_banditry_vik_reg_an_tinbhear_mor	sw_foreign_banditry	DURATION[4];GLOBAL
27272712	sw_foreign_banditry_vik_reg_an_tinbhear_mor	TARGET	EVENT
27272713	sw_foreign_banditry_vik_reg_aporcrosan	sw_foreign_banditry	DURATION[4];GLOBAL
27272714	sw_foreign_banditry_vik_reg_aporcrosan	TARGET	EVENT
27272715	sw_foreign_banditry_vik_reg_ard_fert	sw_foreign_banditry	DURATION[4];GLOBAL
27272716	sw_foreign_banditry_vik_reg_ard_fert	TARGET	EVENT
27272717	sw_foreign_banditry_vik_reg_ard_macha	sw_foreign_banditry	DURATION[4];GLOBAL
27272718	sw_foreign_banditry_vik_reg_ard_macha	TARGET	EVENT
27272719	sw_foreign_banditry_vik_reg_ard_mor	sw_foreign_banditry	DURATION[4];GLOBAL
27272720	sw_foreign_banditry_vik_reg_ard_mor	TARGET	EVENT
27272721	sw_foreign_banditry_vik_reg_ard_sratha	sw_foreign_banditry	DURATION[4];GLOBAL
27272722	sw_foreign_banditry_vik_reg_ard_sratha	TARGET	EVENT
27272723	sw_foreign_banditry_vik_reg_ardach	sw_foreign_banditry	DURATION[4];GLOBAL
27272724	sw_foreign_banditry_vik_reg_ardach	TARGET	EVENT
27272725	sw_foreign_banditry_vik_reg_axanbrycg	sw_foreign_banditry	DURATION[4];GLOBAL
27272726	sw_foreign_banditry_vik_reg_axanbrycg	TARGET	EVENT
27272727	sw_foreign_banditry_vik_reg_balla	sw_foreign_banditry	DURATION[4];GLOBAL
27272728	sw_foreign_banditry_vik_reg_balla	TARGET	EVENT
27272729	sw_foreign_banditry_vik_reg_basengas	sw_foreign_banditry	DURATION[4];GLOBAL
27272730	sw_foreign_banditry_vik_reg_basengas	TARGET	EVENT
27272731	sw_foreign_banditry_vik_reg_bathanceaster	sw_foreign_banditry	DURATION[4];GLOBAL
27272732	sw_foreign_banditry_vik_reg_bathanceaster	TARGET	EVENT
27272733	sw_foreign_banditry_vik_reg_bedanford	sw_foreign_banditry	DURATION[4];GLOBAL
27272734	sw_foreign_banditry_vik_reg_bedanford	TARGET	EVENT
27272735	sw_foreign_banditry_vik_reg_beoferlic	sw_foreign_banditry	DURATION[4];GLOBAL
27272736	sw_foreign_banditry_vik_reg_beoferlic	TARGET	EVENT
27272737	sw_foreign_banditry_vik_reg_bodmine	sw_foreign_banditry	DURATION[4];GLOBAL
27272738	sw_foreign_banditry_vik_reg_bodmine	TARGET	EVENT
27272739	sw_foreign_banditry_vik_reg_brechin	sw_foreign_banditry	DURATION[4];GLOBAL
27272740	sw_foreign_banditry_vik_reg_brechin	TARGET	EVENT
27272741	sw_foreign_banditry_vik_reg_brideport	sw_foreign_banditry	DURATION[4];GLOBAL
27272742	sw_foreign_banditry_vik_reg_brideport	TARGET	EVENT
27272743	sw_foreign_banditry_vik_reg_brug	sw_foreign_banditry	DURATION[4];GLOBAL
27272744	sw_foreign_banditry_vik_reg_brug	TARGET	EVENT
27272745	sw_foreign_banditry_vik_reg_buccingahamm	sw_foreign_banditry	DURATION[4];GLOBAL
27272746	sw_foreign_banditry_vik_reg_buccingahamm	TARGET	EVENT
27272747	sw_foreign_banditry_vik_reg_cair_mirddin	sw_foreign_banditry	DURATION[4];GLOBAL
27272748	sw_foreign_banditry_vik_reg_cair_mirddin	TARGET	EVENT
27272749	sw_foreign_banditry_vik_reg_cair_segeint	sw_foreign_banditry	DURATION[4];GLOBAL
27272750	sw_foreign_banditry_vik_reg_cair_segeint	TARGET	EVENT
27272751	sw_foreign_banditry_vik_reg_cairlinn	sw_foreign_banditry	DURATION[4];GLOBAL
27272752	sw_foreign_banditry_vik_reg_cairlinn	TARGET	EVENT
27272753	sw_foreign_banditry_vik_reg_cathair_domnaill	sw_foreign_banditry	DURATION[4];GLOBAL
27272754	sw_foreign_banditry_vik_reg_cathair_domnaill	TARGET	EVENT
27272755	sw_foreign_banditry_vik_reg_cell_alaid	sw_foreign_banditry	DURATION[4];GLOBAL
27272756	sw_foreign_banditry_vik_reg_cell_alaid	TARGET	EVENT
27272757	sw_foreign_banditry_vik_reg_cell_cainning	sw_foreign_banditry	DURATION[4];GLOBAL
27272758	sw_foreign_banditry_vik_reg_cell_cainning	TARGET	EVENT
27272759	sw_foreign_banditry_vik_reg_cell_daltain	sw_foreign_banditry	DURATION[4];GLOBAL
27272760	sw_foreign_banditry_vik_reg_cell_daltain	TARGET	EVENT
27272761	sw_foreign_banditry_vik_reg_cell_maic_aeda	sw_foreign_banditry	DURATION[4];GLOBAL
27272762	sw_foreign_banditry_vik_reg_cell_maic_aeda	TARGET	EVENT
