payload_key	effect_bundle_key
#cdir_events_payloads_tables;0;db/cdir_events_payloads_tables/sw_foreign_warrior_region_events_payloads	
sw_foreign_church_crafts	sw_foreign_church_crafts
sw_foreign_banditry	sw_foreign_banditry
sw_foreign_bees	sw_foreign_bees
sw_foreign_cows	sw_foreign_cows
sw_foreign_drunk_brawl	sw_foreign_drunk_brawl
sw_foreign_esc_gothi	sw_foreign_esc_gothi
sw_foreign_esc_vandalism	sw_foreign_esc_vandalism
sw_foreign_food_stores	sw_foreign_food_stores
sw_foreign_mine	sw_foreign_mine
sw_foreign_ports	sw_foreign_ports
sw_foreign_priest_assaulted	sw_foreign_priest_assaulted
sw_foreign_sheep	sw_foreign_sheep
sw_foreign_soldiers	sw_foreign_soldiers
sw_foreign_spies	sw_foreign_spies
sw_foreign_plot_governor_2	sw_foreign_plot_governor_2
sw_foreign_warriors_trial_fair	sw_foreign_warriors_trial_fair
sw_foreign_warriors_trial_unfair	sw_foreign_warriors_trial_unfair
sw_foreign_settlement_sack	sw_foreign_settlement_sack
sw_foreign_displacement_1	sw_foreign_displacement_1
sw_foreign_oaths_1	sw_foreign_oaths_1
sw_foreign_oaths_2	sw_foreign_oaths_2
sw_foreign_plot_governor_1	sw_foreign_plot_governor_1
sw_foreign_settlers_drive_out_1	sw_foreign_settlers_drive_out_1
sw_foreign_settlers_drive_out_2	sw_foreign_settlers_drive_out_2
sw_foreign_settlers_drive_out_here_king_1	sw_foreign_settlers_drive_out_here_king_1
sw_foreign_settlers_drive_out_here_king_2	sw_foreign_settlers_drive_out_here_king_2
