key	generate	localised_description	localised_title	ui_icon	ui_image	prioritized	event_category
#dilemmas_tables;3;db/dilemmas_tables/new_region_dilemma_pop_update							
sw_foreign_displacement_vik_reg_aberffro	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Aberffro	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_aberteifi	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Aberteifi	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_achadh_bo	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Achadh Bo	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_aethelingaeg	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Aethelingaeg	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_airchardan	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Airchardan	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_bebbanburg	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Bebbanburg	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_blascona	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Blascona	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_bornais	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Bornais	message_generic_news.png	vik_event_population_negative	true	Ybor
sw_foreign_displacement_vik_reg_cair_gwent	false	A travesty is occurring within your kingdom. The tensions have increased such that some of the locals have taken up pitchforks and spears and are forcing the foreigners out of their homes and out of the communities. Bloodless though it may be{x} women{x} children{x} the sick and the lame were all treated the same. Surely a just God cannot look kindly upon those who persecute the innocent as they haveâ€¦ but to support the foreigners in this matter would only raise tensions and continue to make them a target in the future.	Forced Migrations in Cair Gwent	message_generic_news.png	vik_event_population_negative	true	Ybor
