key	localised_description	localised_title	ui_icon	bundle_target
#effect_bundles_tables;1;db/effect_bundles_tables/foreign_warrior_region_event_payload_bundles				
sw_foreign_banditry	PLACEHOLDER	PLACEHOLDER	event_agent_activity_negative.png	region
sw_foreign_bees	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_cows	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_drunk_brawl	PLACEHOLDER	PLACEHOLDER	event_commander_activity_negative.png	region
sw_foreign_esc_gothi	PLACEHOLDER	PLACEHOLDER	event_char_activity_negative.png	region
sw_foreign_esc_vandalism	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_food_stores	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_mine	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_ports	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_priest_assaulted	PLACEHOLDER	PLACEHOLDER	event_char_activity_negative.png	region
sw_foreign_sheep	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_soldiers	PLACEHOLDER	PLACEHOLDER	event_commander_activity_negative.png	region
sw_foreign_spies	PLACEHOLDER	PLACEHOLDER	event_char_activity_negative.png	region
sw_foreign_plot_governor_2	PLACEHOLDER	PLACEHOLDER	event_agent_activity_negative.png	region
sw_foreign_warriors_trial_fair	PLACEHOLDER	PLACEHOLDER	event_politicat_negative.png	region
sw_foreign_warriors_trial_unfair	PLACEHOLDER	PLACEHOLDER	event_politicat_negative.png	region
sw_foreign_settlement_sack	PLACEHOLDER	PLACEHOLDER	event_city_negative.png	region
sw_foreign_church_crafts	PLACEHOLDER	PLACEHOLDER	event_buildings_negative.png	region
sw_foreign_oaths_1	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_settlers_drive_out_1	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_oaths_2	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_plot_governor_1	PLACEHOLDER	PLACEHOLDER	event_agent_activity_negative.png	region
sw_foreign_displacement_1	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_settlers_drive_out_here_king_2	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_settlers_drive_out_2	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
sw_foreign_settlers_drive_out_here_king_1	PLACEHOLDER	PLACEHOLDER	event_population_negative.png	region
