effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/riot_region_event_payload_bundles				
shield_rebellion_rioting	vik_public_order_new_negative_events	region_to_region_neighbouring_province_own	1.0	start_turn_completed
shield_rebellion_rioting	vik_allegiance_usurper	region_to_region_own	1.0	start_turn_completed
shield_rebellion_rioting	sw_income_commerce_mod	region_to_region_own_provincewide	-90.0	start_turn_completed
sw_rebellion_corruption	vik_allegiance_usurper	region_to_region_own	2.0	start_turn_completed
sw_rebellion_corruption	vik_corruption_mod	region_to_region_own	25.0	start_turn_completed
sw_rebellion_bandits	sw_banditry	region_to_region_own	2.0	start_turn_completed
sw_rebellion_tyrannical_1	vik_public_order_new_positive_events	region_to_region_own	5.0	start_turn_completed
sw_rebellion_tyrannical_1	sw_income_commerce_mod	region_to_region_own_provincewide	-20.0	start_turn_completed
sw_rebellion_oppressor_1	vik_public_order_new_positive_events	region_to_region_own	5.0	start_turn_completed
sw_rebellion_oppressor_1	vik_allegiance_usurper	region_to_region_own	2.0	start_turn_completed
sw_rebellion_rioting_household_guard_2	sw_banditry	region_to_region_own	1.0	start_turn_completed
sw_rebellion_rioting_household_guard_2	vik_allegiance_usurper	region_to_region_own	1.0	start_turn_completed
sw_rebellion_demagogue	vik_public_order_new_negative_events	region_to_region_neighbouring_province_own	2.0	start_turn_completed
sw_rebellion_demagogue	vik_allegiance_usurper	region_to_region_own	2.0	start_turn_completed
