key	text	tooltip
#Loc PackedFile;1;text/db/foreign_warriors_events_bundles.loc		
effect_bundles_localised_title_sw_foreign_banditry	Banditry!	true
effect_bundles_localised_description_sw_foreign_banditry	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_bees	Stolen Bees!	true
effect_bundles_localised_description_sw_foreign_bees	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_cows	Stolen Cattle!	true
effect_bundles_localised_description_sw_foreign_cows	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_drunk_brawl	A Barroom Brawl!	true
effect_bundles_localised_description_sw_foreign_drunk_brawl	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_esc_gothi	Insolent Gothi!	true
effect_bundles_localised_description_sw_foreign_esc_gothi	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_esc_vandalism	Drunken Vandalism!	true
effect_bundles_localised_description_sw_foreign_esc_vandalism	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_food_stores	Stolen Food Stores!	true
effect_bundles_localised_description_sw_foreign_food_stores	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_mine	A Craftshop Looted!	true
effect_bundles_localised_description_sw_foreign_mine	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_ports	Confined to Ports!	true
effect_bundles_localised_description_sw_foreign_ports	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_priest_assaulted	Priest Assaulted!	true
effect_bundles_localised_description_sw_foreign_priest_assaulted	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_sheep	Sheep Stolen!	true
effect_bundles_localised_description_sw_foreign_sheep	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_soldiers	Soldiers Beaten!	true
effect_bundles_localised_description_sw_foreign_soldiers	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_spies	We are being spied upon!	true
effect_bundles_localised_description_sw_foreign_spies	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_plot_governor_2	Secured Support!	true
effect_bundles_localised_description_sw_foreign_plot_governor_2	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_warriors_trial_fair	Tried and Executed!	true
effect_bundles_localised_description_sw_foreign_warriors_trial_fair	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_warriors_trial_unfair	Tried and Executed!	true
effect_bundles_localised_description_sw_foreign_warriors_trial_unfair	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_settlement_sack	Our Settlement Sacked!	true
effect_bundles_localised_description_sw_foreign_settlement_sack	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_church_crafts	Stolen Materials!	true
effect_bundles_localised_description_sw_foreign_church_crafts	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_oaths_1	Demand Oath!	true
effect_bundles_localised_description_sw_foreign_oaths_1	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_settlers_drive_out_1	Drive them out!	true
effect_bundles_localised_description_sw_foreign_settlers_drive_out_1	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_oaths_2	Leave them!	true
effect_bundles_localised_description_sw_foreign_oaths_2	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_plot_governor_1	Massacred!	true
effect_bundles_localised_description_sw_foreign_plot_governor_1	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_displacement_1	Foreign Displacement!	true
effect_bundles_localised_description_sw_foreign_displacement_1	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_settlers_drive_out_here_king_2	Saxon nobles	true
effect_bundles_localised_description_sw_foreign_settlers_drive_out_here_king_2	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_settlers_drive_out_2	They settle nearby	true
effect_bundles_localised_description_sw_foreign_settlers_drive_out_2	This region gets the following bonuses:	true
effect_bundles_localised_title_sw_foreign_settlers_drive_out_here_king_1	Viking Rule	true
effect_bundles_localised_description_sw_foreign_settlers_drive_out_here_king_1	This region gets the following bonuses:	true
