key	text	tooltip
#Loc PackedFile;1;text/db/foreign_warriors_region_events_dummy_payloads.loc		
campaign_payload_ui_details_description_sw_foreign_warriors_80	+80 Foreign Warrior Population	true
campaign_payload_ui_details_description_sw_foreign_warriors_200	+200 Foreign Warrior Population	true
campaign_payload_ui_details_description_sw_foreign_warriors_120_lost	-120 Foreign Warrior Population	true
campaign_payload_ui_details_description_sw_foreign_warriors_80_lost	-80 Foreign Warrior Population	true
campaign_payload_ui_details_description_sw_foreign_warriors_200_lost	-200 Foreign Warrior Population	true
campaign_payload_ui_details_description_sw_foreign_warriors_120	+120 Foreign Warrior Population	true
campaign_payload_ui_details_description_sw_foreign_army	Foreign Warrior Rebellion	true
campaign_payload_ui_details_description_sw_foreign_crisis_level_down	Conflict with Foreigners subsides	true
campaign_payload_ui_details_description_sw_foreign_crisis_level_up	Conflict with Foreigners escalates	true
campaign_payload_ui_details_description_sw_foreign_plot_governor_2	We appeal to the foreigners	true
campaign_payload_ui_details_description_sw_foreign_settlement_sack	Our settlement was sacked	true
campaign_payload_ui_details_description_sw_foreign_oaths_1	May cause negative events	true
campaign_payload_ui_details_description_sw_foreign_settlers_drive_out_1	The foreigners are driven out	true
campaign_payload_ui_details_description_sw_foreign_oaths_2	Leave them alone for now	true
campaign_payload_ui_details_description_sw_foreign_plot_governor_1	Execute this governor and their followers	true
campaign_payload_ui_details_description_sw_foreign_settlers_drive_out_here_king_2	We appointed Saxon rulers	true
campaign_payload_ui_details_description_sw_foreign_settlers_drive_out_2	They will settle nearby	true
campaign_payload_ui_details_description_sw_foreign_settlers_drive_out_here_king_1	Lets the vikings rule	true
