key	text	tooltip
#Loc PackedFile;1;text/db/mercenary_dilemma_unit_sets.loc		
unit_sets_display_name_sw_mercs_available_dan_anglian_marauders	Svear Vikingar	true
unit_sets_display_name_sw_mercs_available_dan_jarls_huscarls	Silver Wolves	true
unit_sets_display_name_sw_mercs_available_dan_mailed_horsemen	Frankish Horsemen	true
unit_sets_display_name_sw_mercs_available_dan_northumbrian_mailed_thegns	Saxon Band	true
unit_sets_display_name_sw_mercs_available_eng_long_axemen	Butsecarls	true
unit_sets_display_name_sw_mercs_available_eng_mailed_thegns	Old Captain	true
unit_sets_display_name_sw_mercs_available_vik_jomsvikings	Jomsvikingar	true
unit_sets_display_name_sw_mercs_available_vik_thrall_axemen	Sailors	true
unit_sets_display_name_sw_mercs_available_wel_mailed_axemen	Vikingar	true
unit_sets_display_name_starting_levy	Levy	true
