key	text	tooltip
#Loc PackedFile;1;text/db/sw_region_dummy_payload.loc		
campaign_payload_ui_details_description_sw_religion_convert_church_1	Governor Loses Trait: Pagan	true
campaign_payload_ui_details_description_sw_dead_governor	Our governor was killed	true
campaign_payload_ui_details_description_sw_skills_gothi_shield_heathen_pagan_2	The men released their captive	true
campaign_payload_ui_details_description_sw_gifts_ally_region	Region Gained	true
campaign_payload_ui_details_description_sw_gifts_our_region_defects_defeat	Region Lost	true
campaign_payload_ui_details_description_sw_gifts_our_region_defects_riots	Region Lost	true
campaign_payload_ui_details_description_sw_gifts_our_region_defects_war	Region Lost	true
campaign_payload_ui_details_description_sw_gifts_our_village_defects	Village Lost	true
campaign_payload_ui_details_description_sw_gifts_region_defection_victories	Region Gained	true
campaign_payload_ui_details_description_sw_gifts_region_defection_war	Region Gained	true
campaign_payload_ui_details_description_sw_governor_trait_shield_heathen_berserker	Governor gains trait: Berserker	true
campaign_payload_ui_details_description_sw_keep_it	We kept the region	true
campaign_payload_ui_details_description_sw_slave_rebellion_significant_1	Leave them alone for now	true
campaign_payload_ui_details_description_sw_lose_storage	Some of our Stored Food was stolen	true
campaign_payload_ui_details_description_sw_religion_convert_church_2	His conversion is prevented	true
campaign_payload_ui_details_description_sw_receive_region	Region Gained	true
campaign_payload_ui_details_description_sw_return_land	Region Lost	true
campaign_payload_ui_details_description_sw_riot_ends	Rioting has subsided here	true
campaign_payload_ui_details_description_sw_skills_gothi_shield_heathen_pagan_1	The men sacrifice their captives	true
campaign_payload_ui_details_description_sw_slave_rebellion_significant_2	We slaughter the populace	true
campaign_payload_ui_details_description_sw_slave_uprising	Slave Riots!	true
campaign_payload_ui_details_description_sw_governor_trait_shield_brute_corrupt	Governor gains trait: Corrupt	true
campaign_payload_ui_details_description_sw_king_trait_shield_tyrant_opressor	King gains Trait: Opressor	true
campaign_payload_ui_details_description_sw_governor_trait_shield_tyrant_opressor	Governor gains trait: Opressor	true
campaign_payload_ui_details_description_sw_governor_lost_trait_shield_elder_loved	Governor lost trait: Beloved	false
campaign_payload_ui_details_description_sw_resupply_1	Army Resupplied	false
campaign_payload_ui_details_description_sw_resupply_2	Supply Line Established	false
campaign_payload_ui_details_description_sw_resupply_3	Supply Caravan Established	false
