effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/shield_effect_bundles_to_effects_junctions				
shield_season_winter	vik_gdp_mod_farms	province_to_region_own	-30.0	start_turn_completed
shield_season_winter	vik_food_production_mod_negative	province_to_region_own	-30.0	start_turn_completed
shield_season_winter	vik_campaign_movement	province_to_force_any	-50.0	start_turn_completed
shield_season_winter	vik_replenishment_mod	province_to_force_any	-10.0	start_turn_completed
shield_season_winter	vik_unit_morale	province_to_force_any	-1.0	start_turn_completed
shield_season_summer	vik_supplies_buildings	province_to_army_own	3.0	start_turn_completed
shield_season_summer	vik_gdp_mod_market	province_to_region_own	10.0	start_turn_completed
shield_season_harvest	vik_gdp_mod_farms	province_to_region_own	60.0	start_turn_completed
shield_season_spring	vik_public_order_new_positive_buildings	province_to_region_own	2.0	start_turn_completed
shield_season_winter_bitter	vik_gdp_mod_farms	province_to_region_own	-50.0	start_turn_completed
shield_season_winter_bitter	vik_food_production_mod_negative	province_to_region_own	-50.0	start_turn_completed
shield_season_winter_bitter	vik_campaign_movement	province_to_force_any	-80.0	start_turn_completed
shield_season_winter_bitter	vik_replenishment_mod	province_to_force_any	-30.0	start_turn_completed
shield_season_winter_bitter	vik_unit_morale	province_to_force_any	-2.0	start_turn_completed
shield_season_summer_drought	vik_unit_morale	province_to_force_any	-1.0	start_turn_completed
shield_season_summer_drought	vik_food_production_mod_negative	province_to_province_own	-5.0	start_turn_completed
shield_season_harvest_cold	vik_food_production_mod_negative	province_to_province_own	-5.0	start_turn_completed
shield_season_harvest_cold	vik_gdp_mod_farms	province_to_region_own	-20.0	start_turn_completed
shield_season_spring_flood	vik_replenishment_mod	province_to_force_any	-10.0	start_turn_completed
shield_season_spring_flood	vik_campaign_movement	province_to_force_any	-20.0	start_turn_completed
shield_season_spring_flood	vik_gdp_mod_farms	province_to_region_own	-20.0	start_turn_completed
shield_season_summer	shieldwall_fyrd_levy_cost_hidden	province_to_force_factionwide	-100.0	start_turn_completed
shield_season_summer_drought	shieldwall_fyrd_levy_cost_hidden	province_to_force_factionwide	-100.0	start_turn_completed
shield_season_spring	shieldwall_fyrd_levy_cost_hidden	province_to_force_factionwide	-100.0	start_turn_completed
shield_season_spring_flood	shieldwall_fyrd_levy_cost_hidden	province_to_force_factionwide	-100.0	start_turn_completed
shield_season_winter	shieldwall_english_peasant_replenishment_hidden	province_to_army_own	-100.0	start_turn_completed
shield_season_harvest	shieldwall_english_peasant_replenishment_hidden	province_to_army_own	-100.0	start_turn_completed
shield_season_winter_bitter	shieldwall_english_peasant_replenishment_hidden	province_to_army_own	-100.0	start_turn_completed
shield_season_harvest_cold	shieldwall_english_peasant_replenishment_hidden	province_to_army_own	-100.0	start_turn_completed
