key	text	tooltip
#Loc PackedFile;1;text/db/@CALENDAR_shield_months.loc		
random_localisation_strings_string_round_id_december	Forest Month	true
random_localisation_strings_string_round_id_january	Easter Month	true
random_localisation_strings_string_round_id_february	Milking Month	true
random_localisation_strings_string_round_id_march	First Summer	true
random_localisation_strings_string_round_id_april	Second Summer	true
random_localisation_strings_string_round_id_may	Plant Month	true
random_localisation_strings_string_round_id_june	Holy Month	true
random_localisation_strings_string_round_id_july	Full Moon Month	true
random_localisation_strings_string_round_id_august	Sacrifice Month	true
random_localisation_strings_string_round_id_september	First Yule	true
random_localisation_strings_string_round_id_october	Second Yule	true
random_localisation_strings_string_round_id_november	Cake Month	true
