campaign_difficulty_handicap	human	effect	effect_scope	effect_value	optional_campaign_key
#campaign_difficulty_handicap_effects_tables;0;db/campaign_difficulty_handicap_effects_tables/shieldwall_cdh_food_upkeep					
-1	false	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
0	false	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
1	false	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
2	false	vik_unit_food_upkeep	faction_to_faction_own	-6.0	
3	false	vik_unit_food_upkeep	faction_to_faction_own	-7.0	
0	true	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
1	true	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
2	true	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
3	true	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
-1	true	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
-2	true	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
-3	true	vik_unit_food_upkeep	faction_to_faction_own	-5.0	
