variable_key	value
#campaign_variables_tables;0;db/campaign_variables_tables/@campaign_variables	
abandon_settlement_income_percentage_modifier	-80.0
abandon_settlement_per_faction_province_desolation_public_order_penalty	5.0
abandon_settlement_per_faction_province_uncertainty_public_order_penalty	3.0
agents_per_tech_cap	3.0
ambush_critical_fail_proportion_of_fail	0.5
annexed_territory_multiplier_on_realm_divide	1.0
armed_citizenry_army_percentage_on_change_hands	5.0
armed_citizenry_navy_percentage_on_change_hands	5.0
army_supply_spying_threshold	0.5
artillery_capture_chance	10.0
autoresolver_alliance_wipe_out_loser_strength_of_max_threshold	0.3
autoresolver_alliance_wipe_out_winner_loser_strength_multiple	7.0
autoresolver_battle_damage_modifier_full_naval_units_at_sea	2.0
autoresolver_battle_damage_modifier_non_naval_units_at_sea	0.85
autoresolver_battle_excess_melee_damage_multiplier	1.0
autoresolver_battle_excess_melee_damage_received_from_target_multiplier	0.75
autoresolver_battle_max_melee_skirmish_time_proportion	0.9
autoresolver_battle_melee_skirmish_speed_proportion_multiplier	0.3
autoresolver_battle_missile_range_modifier_used_in_ranged_combat	0.2
autoresolver_battle_naval_ramming_damage_multiplier	50.0
autoresolver_battle_naval_ramming_initial_seperation	10.0
autoresolver_battle_num_defender_towers_in_fortified_settlement	5.0
autoresolver_battle_num_defender_towers_in_unfortified_settlement	2.0
autoresolver_battle_reinforcement_time	0.0
autoresolver_battle_result_accuracy_high_prediction_variation	0.02
autoresolver_battle_result_accuracy_low_prediction_variation	0.2
autoresolver_battle_result_accuracy_moderate_prediction_variation	0.1
autoresolver_battle_result_accuracy_very_high_prediction_variation	0.0
autoresolver_battle_result_accuracy_very_low_prediction_variation	0.3
autoresolver_battle_timestep	15.0
autoresolver_battle_tower_base_kps	0.39
autoresolver_bound_max_ammo_per_second_mod_unit_size	3.0
autoresolver_bound_max_melee_strength_proportion	50.0
autoresolver_bound_max_ranged_kills_per_second	20.0
autoresolver_bound_min_melee_kills_per_second_full_strength	0.0
autoresolver_bound_min_ranged_kills_per_ammo_mod_unit_size	0.0
autoresolver_bound_min_ranged_kills_per_second	0.0
autoresolver_building_damage_num_assult_equipment_percentage	0.0
autoresolver_building_damage_num_units_percentage	0.01
autoresolver_casualty_unary_received_by_excess_melee_units_from_target	0.05
