id	choice_key	dilemma_key	payload_key	value
#cdir_events_dilemma_payloads_tables;2;db/cdir_events_dilemma_payloads_tables/@adjusted_vanilla_events_costs				
2514	FIRST	political_event_blackmail	TREASURY	AMOUNT[-500]
7698	FIRST	vik_fact_mierce_dilemma_westsexa_capitulates	TREASURY	AMOUNT[1000]
8165	FIRST	vik_miercna_treasury_1	TREASURY	AMOUNT[-100]
8171	SECOND	vik_miercna_treasury_1	TREASURY	AMOUNT[-100]
8179	THIRD	vik_miercna_treasury_1	TREASURY	AMOUNT[-100]
8199	FIRST	vik_miercna_treasury_2	TREASURY	AMOUNT[-200]
8207	SECOND	vik_miercna_treasury_2	TREASURY	AMOUNT[-200]
8217	THIRD	vik_miercna_treasury_2	TREASURY	AMOUNT[-200]
8218	FIRST	vik_miercna_treasury_3	TREASURY	AMOUNT[-300]
8221	SECOND	vik_miercna_treasury_3	TREASURY	AMOUNT[-300]
8229	THIRD	vik_miercna_treasury_3	TREASURY	AMOUNT[-300]
8238	FIRST	vik_miercna_treasury_4	TREASURY	AMOUNT[-400]
8244	SECOND	vik_miercna_treasury_4	TREASURY	AMOUNT[-400]
8254	THIRD	vik_miercna_treasury_4	TREASURY	AMOUNT[-400]
8255	FIRST	vik_miercna_treasury_5	TREASURY	AMOUNT[-500]
8262	SECOND	vik_miercna_treasury_5	TREASURY	AMOUNT[-500]
8269	THIRD	vik_miercna_treasury_5	TREASURY	AMOUNT[-500]
8279	FIRST	vik_miercna_treasury_6	TREASURY	AMOUNT[-600]
8284	SECOND	vik_miercna_treasury_6	TREASURY	AMOUNT[-600]
8293	THIRD	vik_miercna_treasury_6	TREASURY	AMOUNT[-600]
8302	FIRST	vik_miercna_treasury_7	TREASURY	AMOUNT[-700]
8303	SECOND	vik_miercna_treasury_7	TREASURY	AMOUNT[-700]
8312	THIRD	vik_miercna_treasury_7	TREASURY	AMOUNT[-700]
8322	FIRST	vik_miercna_treasury_8	TREASURY	AMOUNT[-800]
8331	SECOND	vik_miercna_treasury_8	TREASURY	AMOUNT[-800]
8341	THIRD	vik_miercna_treasury_8	TREASURY	AMOUNT[-800]
8345	FIRST	vik_miercna_treasury_9	TREASURY	AMOUNT[-900]
