id	mission_key	payload_key	status_key	value
#cdir_events_mission_payloads_tables;1;db/cdir_events_mission_payloads_tables/@adjusted_vanilla_events_costs				
6788	vik_gwined_legendary_battle_occupy_vik_reg_wigracestre	TREASURY	SUCCESS	AMOUNT[500]
6793	vik_gwined_legendary_battle_occupy_vik_reg_rucestr	TREASURY	SUCCESS	AMOUNT[500]
6796	vik_gwined_legendary_battle_occupy_vik_reg_bebbanburg	TREASURY	SUCCESS	AMOUNT[500]
6803	vik_gwined_legendary_battle_occupy_vik_reg_gleawceaster	TREASURY	SUCCESS	AMOUNT[500]
6808	vik_gwined_legendary_battle_occupy_vik_reg_doneceaster	TREASURY	SUCCESS	AMOUNT[500]
6811	vik_gwined_legendary_battle_occupy_vik_reg_hagustaldes	TREASURY	SUCCESS	AMOUNT[500]
6817	vik_gwined_legendary_battle_occupy_vik_reg_eidenburg	TREASURY	SUCCESS	AMOUNT[500]
6825	vik_gwined_legendary_battle_occupy_vik_reg_alt_clut	TREASURY	SUCCESS	AMOUNT[500]
6829	vik_gwined_legendary_battle_occupy_vik_reg_carleol	TREASURY	SUCCESS	AMOUNT[500]
6833	vik_gwined_legendary_battle_occupy_vik_reg_cetretha	TREASURY	SUCCESS	AMOUNT[500]
6834	vik_gwined_legendary_battle_occupy_vik_reg_casteltoun	TREASURY	SUCCESS	AMOUNT[500]
6835	vik_gwined_legendary_battle_occupy_vik_reg_lindcylne	TREASURY	SUCCESS	AMOUNT[500]
6837	vik_gwined_legendary_battle_occupy_vik_reg_bedanford	TREASURY	SUCCESS	AMOUNT[500]
6838	vik_gwined_legendary_battle_occupy_vik_reg_cirenceaster	TREASURY	SUCCESS	AMOUNT[500]
6841	vik_gwined_legendary_battle_occupy_vik_reg_snotingaham	TREASURY	SUCCESS	AMOUNT[500]
6846	vik_gwined_legendary_battle_occupy_vik_reg_din_prys	TREASURY	SUCCESS	AMOUNT[500]
6849	vik_gwined_legendary_battle_occupy_vik_reg_wintanceaster	TREASURY	SUCCESS	AMOUNT[500]
6859	vik_gwined_legendary_battle_occupy_vik_reg_ceaster	TREASURY	SUCCESS	AMOUNT[500]
6868	vik_gwined_legendary_battle_occupy_vik_reg_loidis	TREASURY	SUCCESS	AMOUNT[500]
6869	vik_gwined_legendary_battle_occupy_vik_reg_hwitan_aerne	TREASURY	SUCCESS	AMOUNT[500]
6873	vik_gwined_legendary_battle_occupy_vik_reg_bathanceaster	TREASURY	SUCCESS	AMOUNT[500]
7007	vik_gwined_legendary_battle_alliance_vik_reg_wigraceaster	TREASURY	SUCCESS	AMOUNT[250]
7016	vik_gwined_legendary_battle_alliance_vik_reg_lindcylne	TREASURY	SUCCESS	AMOUNT[250]
7024	vik_gwined_legendary_battle_alliance_vik_reg_snotingaham	TREASURY	SUCCESS	AMOUNT[250]
7034	vik_gwined_legendary_battle_alliance_vik_reg_din_prys	TREASURY	SUCCESS	AMOUNT[250]
7041	vik_gwined_legendary_battle_alliance_vik_reg_wintanceaster	TREASURY	SUCCESS	AMOUNT[250]
7050	vik_gwined_legendary_battle_alliance_vik_reg_ceaster	TREASURY	SUCCESS	AMOUNT[250]
7058	vik_gwined_legendary_battle_alliance_vik_reg_loidis	TREASURY	SUCCESS	AMOUNT[250]
7065	vik_east_engle_fight_1	TREASURY	SUCCESS	AMOUNT[250]
7068	vik_east_engle_fight_2	TREASURY	SUCCESS	AMOUNT[250]
7069	vik_east_engle_fight_3	TREASURY	SUCCESS	AMOUNT[250]
7078	vik_east_engle_fight_4	TREASURY	SUCCESS	AMOUNT[250]
7083	vik_east_engle_war_against_west_blockade_1	TREASURY	SUCCESS	AMOUNT[250]
7084	vik_east_engle_war_against_west_build_1	TREASURY	SUCCESS	AMOUNT[250]
7094	vik_east_engle_war_against_west_build_2	TREASURY	SUCCESS	AMOUNT[250]
7098	vik_east_engle_war_against_west_build_3	TREASURY	SUCCESS	AMOUNT[250]
7102	vik_east_engle_war_against_west_fight_1	TREASURY	SUCCESS	AMOUNT[250]
7103	vik_east_engle_war_against_west_fight_2	TREASURY	SUCCESS	AMOUNT[250]
7111	vik_east_engle_war_against_west_occupy_1	TREASURY	SUCCESS	AMOUNT[500]
7120	vik_east_engle_war_against_west_occupy_10	TREASURY	SUCCESS	AMOUNT[500]
7125	vik_east_engle_war_against_west_occupy_2	TREASURY	SUCCESS	AMOUNT[500]
7129	vik_east_engle_war_against_west_occupy_3	TREASURY	SUCCESS	AMOUNT[500]
7135	vik_east_engle_war_against_west_occupy_11	TREASURY	SUCCESS	AMOUNT[500]
7136	vik_east_engle_war_against_west_occupy_4	TREASURY	SUCCESS	AMOUNT[500]
7139	vik_east_engle_war_against_west_occupy_5	TREASURY	SUCCESS	AMOUNT[500]
7144	vik_east_engle_war_against_west_occupy_6	TREASURY	SUCCESS	AMOUNT[500]
7146	vik_east_engle_war_against_west_occupy_7	TREASURY	SUCCESS	AMOUNT[500]
7149	vik_east_engle_war_against_west_occupy_8	TREASURY	SUCCESS	AMOUNT[500]
7158	vik_east_engle_war_against_west_occupy_9	TREASURY	SUCCESS	AMOUNT[500]
7166	vik_east_engle_war_against_west_raid_1	TREASURY	SUCCESS	AMOUNT[250]
7169	vik_east_engle_war_against_west_raid_2	TREASURY	SUCCESS	AMOUNT[250]
7170	vik_east_engle_war_against_west_raid_3	TREASURY	SUCCESS	AMOUNT[250]
7179	vik_east_engle_war_against_west_raid_4	TREASURY	SUCCESS	AMOUNT[250]
7182	vik_east_engle_war_against_west_raid_5	TREASURY	SUCCESS	AMOUNT[250]
7183	vik_east_engle_war_against_west_raid_6	TREASURY	SUCCESS	AMOUNT[250]
7185	vik_east_engle_war_against_west_raid_7	TREASURY	SUCCESS	AMOUNT[250]
7187	vik_east_engle_war_against_west_raise_1	TREASURY	SUCCESS	AMOUNT[250]
7194	vik_east_engle_war_against_west_recruit_1	TREASURY	SUCCESS	AMOUNT[250]
7200	vik_east_engle_war_against_west_sack_1	TREASURY	SUCCESS	AMOUNT[250]
7206	vik_midhe_make_peace_1	TREASURY	SUCCESS	AMOUNT[250]
7215	vik_midhe_make_peace_2	TREASURY	SUCCESS	AMOUNT[250]
7221	vik_midhe_make_peace_3	TREASURY	SUCCESS	AMOUNT[250]
7224	vik_northymbra_ragnars_legacy_fight_1	TREASURY	SUCCESS	AMOUNT[250]
7231	vik_northymbra_ragnars_legacy_fight_2	TREASURY	SUCCESS	AMOUNT[250]
7236	vik_northymbra_ragnars_legacy_fight_3	TREASURY	SUCCESS	AMOUNT[250]
7237	vik_northymbra_ragnars_legacy_occupy_1	TREASURY	SUCCESS	AMOUNT[500]
7245	vik_northymbra_ragnars_legacy_occupy_2	TREASURY	SUCCESS	AMOUNT[500]
7252	vik_northymbra_ragnars_legacy_occupy_3	TREASURY	SUCCESS	AMOUNT[500]
7257	vik_northymbra_ragnars_legacy_raid_1	TREASURY	SUCCESS	AMOUNT[250]
7258	vik_northymbra_ragnars_legacy_raid_2	TREASURY	SUCCESS	AMOUNT[250]
7259	vik_northymbra_ragnars_legacy_raid_3	TREASURY	SUCCESS	AMOUNT[250]
7262	vik_strat_clut_map_control_10_1	TREASURY	SUCCESS	AMOUNT[500]
7266	vik_strat_clut_map_control_10_2	TREASURY	SUCCESS	AMOUNT[500]
7273	vik_strat_clut_map_control_10_3	TREASURY	SUCCESS	AMOUNT[500]
7280	vik_strat_clut_map_control_11_1	TREASURY	SUCCESS	AMOUNT[500]
7289	vik_strat_clut_map_control_11_2	TREASURY	SUCCESS	AMOUNT[500]
