effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!!stances				
vik_stance_ambush	vik_character_spotting_chance	force_to_general_own	50.0	start_turn_completed
vik_stance_ambush	vik_stance_ambush_hidden_dummy	army_to_army_own	1.0	start_turn_completed
vik_stance_ambush	vik_stance_ambush_tooltip_hint_dummy	army_to_army_own	1.0	start_turn_completed
vik_stance_ambush	vik_stance_cannot_move_dummy	army_to_army_own	1.0	start_turn_completed
vik_stance_blockading	vik_army_repression	region_to_region_own_provincewide	-5.0	start_turn_completed
vik_stance_blockading	vik_supplies_consumption_besieging	army_to_army_own	-10.0	start_turn_completed
vik_stance_default	vik_supplies_consumption_stance	army_to_army_own	-4.0	start_turn_completed
vik_stance_docked	vik_replenishment_mod	army_to_army_own	100.0	start_turn_completed
vik_stance_docked	vik_unit_morale	navy_to_navy_own	5.0	start_turn_completed
vik_stance_double_time	vik_campaign_movement	force_to_force_own	50.0	start_turn_completed
vik_stance_double_time	vik_stance_begin_fatigue_4_tired	navy_to_navy_own	4.0	start_turn_completed
vik_stance_double_time	vik_stance_cannot_attack_dummy	navy_to_navy_own	1.0	start_turn_completed
vik_stance_double_time	vik_supplies_double_time	navy_to_navy_own	-6.0	start_turn_completed
vik_stance_double_time	vik_unit_morale	navy_to_navy_own	-3.0	start_turn_completed
vik_stance_forced_march	vik_campaign_movement	force_to_force_own	50.0	start_turn_completed
vik_stance_forced_march	vik_stance_begin_fatigue_4_tired	army_to_army_own	4.0	start_turn_completed
vik_stance_forced_march	vik_stance_cannot_attack_dummy	army_to_army_own	1.0	start_turn_completed
vik_stance_forced_march	vik_supplies_forced_march	army_to_army_own	-6.0	start_turn_completed
vik_stance_forced_march	vik_unit_morale	army_to_army_own	-3.0	start_turn_completed
vik_stance_fortify_west_seaxe	vik_force_terrain_immunity	army_to_army_own	1.0	start_turn_completed
vik_stance_fortify_west_seaxe	vik_force_xp_rate	army_to_army_own	100.0	start_turn_completed
