effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!dummy_trait_cat_bonus				
vik_trait_category_wise	sw_dummy_benefits_wise	character_to_character_own	1.0	start_turn_completed
vik_trait_category_noble	sw_dummy_benefits_noble	character_to_character_own	1.0	start_turn_completed
vik_trait_category_sinful	sw_dummy_benefits_sinful	character_to_character_own	1.0	start_turn_completed
vik_trait_category_virtuous	sw_dummy_benefits_virtuous	character_to_character_own	1.0	start_turn_completed
vik_trait_category_brutish	sw_dummy_benefits_brutish	character_to_character_own	1.0	start_turn_completed
vik_trait_category_malicious	sw_dummy_benefits_malicious	character_to_character_own	1.0	start_turn_completed
vik_trait_category_foolish	sw_dummy_benefits_foolish	character_to_character_own	1.0	start_turn_completed
vik_trait_category_industrious	sw_dummy_benefits_industrious	character_to_character_own	1.0	start_turn_completed
vik_trait_category_cowardly	sw_dummy_benefits_cowardly	character_to_character_own	1.0	start_turn_completed
vik_trait_category_heroic	sw_dummy_benefits_heroic	character_to_character_own	1.0	start_turn_completed
vik_trait_category_wise	sw_trait_sympathy_wise	character_to_character_own	1.0	start_turn_completed
vik_trait_category_noble	sw_trait_sympathy_noble	character_to_character_own	1.0	start_turn_completed
vik_trait_category_sinful	sw_trait_sympathy_sinful	character_to_character_own	1.0	start_turn_completed
vik_trait_category_virtuous	sw_trait_sympathy_virtuous	character_to_character_own	1.0	start_turn_completed
vik_trait_category_brutish	sw_trait_sympathy_brutish	character_to_character_own	1.0	start_turn_completed
vik_trait_category_malicious	sw_trait_sympathy_malicious	character_to_character_own	1.0	start_turn_completed
vik_trait_category_foolish	sw_trait_sympathy_foolish	character_to_character_own	1.0	start_turn_completed
vik_trait_category_industrious	sw_trait_sympathy_industrious	character_to_character_own	1.0	start_turn_completed
vik_trait_category_cowardly	sw_trait_sympathy_cowardly	character_to_character_own	1.0	start_turn_completed
vik_trait_category_heroic	sw_trait_sympathy_heroic	character_to_character_own	1.0	start_turn_completed
vik_trait_category_wise	sw_trait_antipathy_wise	character_to_character_own	1.0	start_turn_completed
vik_trait_category_noble	sw_trait_antipathy_noble	character_to_character_own	1.0	start_turn_completed
vik_trait_category_sinful	sw_trait_antipathy_sinful	character_to_character_own	1.0	start_turn_completed
vik_trait_category_virtuous	sw_trait_antipathy_virtuous	character_to_character_own	1.0	start_turn_completed
vik_trait_category_brutish	sw_trait_antipathy_brutish	character_to_character_own	1.0	start_turn_completed
vik_trait_category_malicious	sw_trait_antipathy_malicious	character_to_character_own	1.0	start_turn_completed
vik_trait_category_foolish	sw_trait_antipathy_foolish	character_to_character_own	1.0	start_turn_completed
vik_trait_category_industrious	sw_trait_antipathy_industrious	character_to_character_own	1.0	start_turn_completed
vik_trait_category_cowardly	sw_trait_antipathy_cowardly	character_to_character_own	1.0	start_turn_completed
vik_trait_category_heroic	sw_trait_antipathy_heroic	character_to_character_own	1.0	start_turn_completed
