effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!fame				
fame_1	shieldwall_gov_capacity	faction_to_faction_own_unseen	2.0	start_turn_completed
fame_2	shieldwall_gov_capacity	faction_to_faction_own_unseen	3.0	start_turn_completed
fame_3	shieldwall_gov_capacity	faction_to_faction_own_unseen	4.0	start_turn_completed
fame_4	shieldwall_gov_capacity	faction_to_faction_own_unseen	4.0	start_turn_completed
fame_5	shieldwall_gov_capacity	faction_to_faction_own_unseen	5.0	start_turn_completed
fame_6	shieldwall_gov_capacity	faction_to_faction_own_unseen	6.0	start_turn_completed
fame_7	shieldwall_gov_capacity	faction_to_faction_own_unseen	10.0	start_turn_completed
fame_3	sw_pools_nobles_except_heroes_increase	faction_to_faction_own_unseen	1.0	start_turn_completed
fame_4	sw_pools_nobles_except_heroes_increase	faction_to_faction_own_unseen	2.0	start_turn_completed
fame_5	sw_pools_nobles_except_heroes_increase	faction_to_faction_own_unseen	4.0	start_turn_completed
fame_6	sw_pools_nobles_except_heroes_increase	faction_to_faction_own_unseen	6.0	start_turn_completed
fame_7	sw_pools_nobles_except_heroes_increase	faction_to_faction_own_unseen	8.0	start_turn_completed
fame_1	sw_pools_all_peasants_except_siege_and_dogs_increase	faction_to_faction_own_unseen	1.0	start_turn_completed
fame_2	sw_pools_all_peasants_except_siege_and_dogs_increase	faction_to_faction_own_unseen	2.0	start_turn_completed
fame_3	sw_pools_all_peasants_except_siege_and_dogs_increase	faction_to_faction_own_unseen	4.0	start_turn_completed
fame_4	sw_pools_all_peasants_except_siege_and_dogs_increase	faction_to_faction_own_unseen	6.0	start_turn_completed
fame_5	sw_pools_all_peasants_except_siege_and_dogs_increase	faction_to_faction_own_unseen	8.0	start_turn_completed
fame_6	sw_pools_all_peasants_except_siege_and_dogs_increase	faction_to_faction_own_unseen	10.0	start_turn_completed
fame_7	sw_pools_all_peasants_except_siege_and_dogs_increase	faction_to_faction_own_unseen	12.0	start_turn_completed
