effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!food_effects				
vik_food_faction_negative_1	vik_supplies_own_waters_hidden	faction_to_army_own	2.0	start_turn_completed
vik_food_faction_negative_1	vik_supplies_own_territory	faction_to_army_own	2.0	start_turn_completed
vik_food_faction_negative_1	vik_public_order_new_negative_food	faction_to_region_own_unseen	2.0	start_turn_completed
vik_food_faction_negative_2	vik_public_order_new_negative_food	faction_to_region_own_unseen	4.0	start_turn_completed
vik_food_faction_negative_3	vik_public_order_new_negative_food	faction_to_region_own_unseen	6.0	start_turn_completed
vik_food_faction_negative_3	vik_replenishment_mod_negative	faction_to_force_own_unseen	-50.0	start_turn_completed
vik_food_faction_positive_1	vik_supplies_own_territory	faction_to_army_own	4.0	start_turn_completed
vik_food_faction_positive_1	shieldwall_pop_growth	faction_to_province_own	25.0	start_turn_completed
vik_food_faction_positive_1	vik_supplies_own_waters_hidden	faction_to_army_own	8.0	start_turn_completed
vik_food_faction_positive_2	vik_supplies_own_territory	faction_to_army_own	8.0	start_turn_completed
vik_food_faction_positive_2	vik_supplies_own_waters_hidden	faction_to_army_own	8.0	start_turn_completed
vik_food_faction_positive_3	vik_supplies_own_territory	faction_to_army_own	8.0	start_turn_completed
vik_food_faction_positive_3	vik_supplies_own_waters_hidden	faction_to_army_own	8.0	start_turn_completed
vik_food_faction_negative_3	shieldwall_pop_famine	faction_to_province_own	6.0	start_turn_completed
vik_food_faction_negative_2	shieldwall_pop_growth	faction_to_province_own	-60.0	start_turn_completed
vik_food_faction_negative_1	shieldwall_pop_growth	faction_to_province_own	-20.0	start_turn_completed
vik_food_faction_positive_1	shieldwall_store_food	faction_to_region_own_unseen	1.0	start_turn_completed
vik_food_faction_positive_2	shieldwall_store_food	faction_to_region_own_unseen	1.0	start_turn_completed
vik_food_faction_positive_3	shieldwall_store_food	faction_to_region_own_unseen	1.0	start_turn_completed
vik_food_faction_positive_2	shieldwall_pop_growth	faction_to_province_own	100.0	start_turn_completed
vik_food_faction_positive_3	shieldwall_pop_growth	faction_to_province_own	200.0	start_turn_completed
vik_food_faction_negative_1	sw_banditry	faction_to_region_own	1.0	start_turn_completed
vik_food_faction_negative_2	sw_banditry	faction_to_region_own	2.0	start_turn_completed
vik_food_faction_negative_3	sw_banditry	faction_to_region_own	3.0	start_turn_completed
vik_food_faction_positive_1	vik_public_order_new_positive_food	faction_to_region_own_unseen	2.0	start_turn_completed
vik_food_faction_positive_2	vik_public_order_new_positive_food	faction_to_region_own_unseen	4.0	start_turn_completed
vik_food_faction_positive_3	vik_public_order_new_positive_food	faction_to_region_own_unseen	6.0	start_turn_completed
vik_food_faction_neutral	vik_supplies_own_territory	faction_to_army_own	3.0	start_turn_completed
vik_food_faction_neutral	vik_supplies_own_waters_hidden	faction_to_army_own	3.0	start_turn_completed
vik_food_faction_neutral	shieldwall_pop_growth	faction_to_province_own	25.0	start_turn_completed
