effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!leader_influence				
vik_leader_influence_0	vik_allegiance_usurper	faction_to_faction_own	4.0	start_turn_completed
vik_leader_influence_0	vik_diplomacy_penalty_severe	faction_to_faction_own_unseen	-20.0	start_turn_completed
vik_leader_influence_10	vik_allegiance_faction	faction_to_faction_own	4.0	start_turn_completed
vik_leader_influence_10	vik_diplomacy_bonus_huge	faction_to_faction_own_unseen	20.0	start_turn_completed
vik_leader_influence_10	vik_fame	faction_to_faction_own_unseen	25.0	start_turn_completed
vik_leader_influence_1	vik_allegiance_usurper	faction_to_faction_own	3.0	start_turn_completed
vik_leader_influence_1	vik_diplomacy_penalty_severe	faction_to_faction_own_unseen	-15.0	start_turn_completed
vik_leader_influence_2	vik_allegiance_usurper	faction_to_faction_own	3.0	start_turn_completed
vik_leader_influence_2	vik_diplomacy_penalty_major	faction_to_faction_own_unseen	-10.0	start_turn_completed
vik_leader_influence_3	vik_allegiance_usurper	faction_to_faction_own	2.0	start_turn_completed
vik_leader_influence_3	vik_diplomacy_penalty	faction_to_faction_own_unseen	-5.0	start_turn_completed
vik_leader_influence_4	vik_allegiance_faction	faction_to_faction_own	1.0	start_turn_completed
vik_leader_influence_5	vik_allegiance_faction	faction_to_faction_own	2.0	start_turn_completed
vik_leader_influence_6	vik_allegiance_faction	faction_to_faction_own	2.0	start_turn_completed
vik_leader_influence_7	vik_allegiance_faction	faction_to_faction_own	2.0	start_turn_completed
vik_leader_influence_7	vik_diplomacy_bonus	faction_to_faction_own_unseen	5.0	start_turn_completed
vik_leader_influence_8	vik_allegiance_faction	faction_to_faction_own	3.0	start_turn_completed
vik_leader_influence_8	vik_diplomacy_bonus	faction_to_faction_own_unseen	10.0	start_turn_completed
vik_leader_influence_9	vik_allegiance_faction	faction_to_faction_own	3.0	start_turn_completed
vik_leader_influence_9	vik_diplomacy_bonus_major	faction_to_faction_own_unseen	15.0	start_turn_completed
vik_leader_influence_9	vik_fame	faction_to_faction_own_unseen	10.0	start_turn_completed
