effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/!!real_trait_cat_bonus				
vik_brutish_trait_agricultural_estates	vik_supplies_faction_food	character_to_force_own_factionwide	2.0	start_turn_completed
vik_brutish_trait_noble_estates	vik_diplomacy_bonus_value	character_to_faction	-10.0	start_turn_completed
vik_brutish_trait_religious_estates	vik_public_order_new_negative_characters	character_to_province_own_factionwide	1.0	start_turn_completed
vik_cowardly_trait_agricultural_estates	vik_unit_replenishment_levy	character_to_force_own_factionwide	-3.0	start_turn_completed
vik_cowardly_trait_noble_estates	vik_general_attribute_command	character_to_character_own_factionwide	-1.0	start_turn_completed
vik_cowardly_trait_religious_estates	vik_allegiance	character_to_faction_unseen	3.0	start_turn_completed
vik_foolish_trait_agricultural_estates	vik_unit_replenishment_levy	this_building	3.0	start_turn_completed
vik_foolish_trait_noble_estates	vik_diplomacy_bonus_value	this_building	-10.0	start_turn_completed
vik_foolish_trait_religious_estates	vik_research_rate	character_to_faction	-10.0	start_turn_completed
vik_heroic_trait_agricultural_estates	vik_supplies_faction_food	character_to_force_own_factionwide	2.0	start_turn_completed
vik_heroic_trait_noble_estates	vik_general_attribute_command	character_to_character_own_factionwide	1.0	start_turn_completed
vik_heroic_trait_religious_estates	vik_allegiance_usurper	character_to_faction	2.0	start_turn_completed
vik_industrious_trait_agricultural_estates	vik_food_characters	faction_to_faction_own	20.0	start_turn_completed
vik_industrious_trait_noble_estates	vik_general_attribute_zeal	character_to_character_own_factionwide	-1.0	start_turn_completed
vik_industrious_trait_religious_estates	vik_gdp_mod_church	character_to_region_own_factionwide	5.0	start_turn_completed
vik_malicious_trait_agricultural_estates	vik_gdp_mod_farms	character_to_region_own_factionwide	3.0	start_turn_completed
vik_malicious_trait_noble_estates	vik_corruption_mod	character_to_province_own_factionwide	2.0	start_turn_completed
vik_malicious_trait_religious_estates	vik_allegiance_usurper	character_to_faction	2.0	start_turn_completed
vik_noble_trait_agricultural_estates	vik_gdp_mod_farms	character_to_region_own_factionwide	3.0	start_turn_completed
vik_noble_trait_noble_estates	vik_allegiance_usurper	character_to_faction	2.0	start_turn_completed
vik_noble_trait_religious_estates	vik_fame	character_to_faction	10.0	start_turn_completed
vik_sinful_trait_agricultural_estates	vik_supplies_character	character_to_force_own_factionwide	-2.0	start_turn_completed
vik_sinful_trait_noble_estates	vik_general_attribute_zeal	character_to_character_own_factionwide	1.0	start_turn_completed
vik_sinful_trait_religious_estates	vik_allegiance_usurper	character_to_faction	2.0	start_turn_completed
vik_virtuous_trait_agricultural_estates	vik_food_characters	character_to_faction	-10.0	start_turn_completed
vik_virtuous_trait_noble_estates	vik_diplomacy_bonus_value	character_to_faction	10.0	start_turn_completed
vik_virtuous_trait_religious_estates	vik_allegiance_faction	character_to_faction	3.0	start_turn_completed
vik_wise_trait_agricultural_estates	vik_food_characters	character_to_faction	-10.0	start_turn_completed
vik_wise_trait_noble_estates	vik_general_attribute_governance	character_to_character_own_factionwide	1.0	start_turn_completed
vik_wise_trait_religious_estates	vik_research_rate	character_to_faction	10.0	start_turn_completed
