effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;2;db/effect_bundles_to_effects_junctions_tables/diplomatic_aversion				
zsw_diplomacy_all_gva	sw_diplomacy_all_gva	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_gva	sw_diplomacy_all_vsk	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_gva	sw_diplomacy_all_sax	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_gva	sw_diplomacy_all_iri	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_gva	sw_diplomacy_all_welsh	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_gva	sw_diplomacy_all_scots	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_gva	sw_diplomacy_all_invaders	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_vsk	sw_diplomacy_all_gva	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_vsk	sw_diplomacy_all_vsk	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_vsk	sw_diplomacy_all_sax	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_vsk	sw_diplomacy_all_iri	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_vsk	sw_diplomacy_all_welsh	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_vsk	sw_diplomacy_all_scots	faction_to_faction_own	-15.0	start_turn_completed
zsw_diplomacy_all_vsk	sw_diplomacy_all_invaders	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_sax	sw_diplomacy_all_gva	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_sax	sw_diplomacy_all_vsk	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_sax	sw_diplomacy_all_sax	faction_to_faction_own	10.0	start_turn_completed
zsw_diplomacy_all_sax	sw_diplomacy_all_iri	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_sax	sw_diplomacy_all_welsh	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_sax	sw_diplomacy_all_scots	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_sax	sw_diplomacy_all_invaders	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_iri	sw_diplomacy_all_gva	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_iri	sw_diplomacy_all_vsk	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_iri	sw_diplomacy_all_sax	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_iri	sw_diplomacy_all_iri	faction_to_faction_own	-15.0	start_turn_completed
zsw_diplomacy_all_iri	sw_diplomacy_all_welsh	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_iri	sw_diplomacy_all_scots	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_iri	sw_diplomacy_all_invaders	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_welsh	sw_diplomacy_all_gva	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_welsh	sw_diplomacy_all_vsk	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_welsh	sw_diplomacy_all_sax	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_welsh	sw_diplomacy_all_iri	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_welsh	sw_diplomacy_all_welsh	faction_to_faction_own	10.0	start_turn_completed
zsw_diplomacy_all_welsh	sw_diplomacy_all_scots	faction_to_faction_own	-15.0	start_turn_completed
zsw_diplomacy_all_welsh	sw_diplomacy_all_invaders	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_scots	sw_diplomacy_all_gva	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_scots	sw_diplomacy_all_vsk	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_scots	sw_diplomacy_all_sax	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_scots	sw_diplomacy_all_iri	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_scots	sw_diplomacy_all_welsh	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_scots	sw_diplomacy_all_scots	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_scots	sw_diplomacy_all_invaders	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_invaders	sw_diplomacy_all_gva	faction_to_faction_own	-10.0	start_turn_completed
zsw_diplomacy_all_invaders	sw_diplomacy_all_vsk	faction_to_faction_own	0.0	start_turn_completed
zsw_diplomacy_all_invaders	sw_diplomacy_all_sax	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_invaders	sw_diplomacy_all_iri	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_invaders	sw_diplomacy_all_welsh	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_invaders	sw_diplomacy_all_scots	faction_to_faction_own	-25.0	start_turn_completed
zsw_diplomacy_all_invaders	sw_diplomacy_all_invaders	faction_to_faction_own	-25.0	start_turn_completed
