effect	icon	priority	icon_negative	is_hidden
#effects_tables;3;db/effects_tables/trait_category_effects				
sw_dummy_benefits_wise	character.png	1	character.png	false
sw_dummy_benefits_noble	character.png	1	character.png	false
sw_dummy_benefits_sinful	character.png	1	character.png	false
sw_dummy_benefits_virtuous	character.png	1	character.png	false
sw_dummy_benefits_brutish	character.png	1	character.png	false
sw_dummy_benefits_malicious	character.png	1	character.png	false
sw_dummy_benefits_foolish	character.png	1	character.png	false
sw_dummy_benefits_industrious	character.png	1	character.png	false
sw_dummy_benefits_cowardly	character.png	1	character.png	false
sw_dummy_benefits_heroic	character.png	1	character.png	false
sw_trait_sympathy_wise	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_noble	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_sinful	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_virtuous	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_brutish	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_malicious	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_foolish	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_industrious	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_cowardly	personality_good.png	2	personality_good.png	false
sw_trait_sympathy_heroic	personality_good.png	2	personality_good.png	false
sw_trait_antipathy_wise	personality_good.png	2	personality_good.png	false
sw_trait_antipathy_noble	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_sinful	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_virtuous	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_brutish	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_malicious	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_foolish	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_industrious	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_cowardly	personality_bad.png	3	personality_bad.png	false
sw_trait_antipathy_heroic	personality_bad.png	3	personality_bad.png	false
